Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-N (A),Cu-C (A),Cu-O (A),C-I (A),Amide C-N (A),Amide C-O (A),N-Cu-I (°),Cu-I-C (°),I-C-N (°),C-N-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (C),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (C),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (N),Atomic Population (C),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (C-I),Bond Order (Cu-N),Bond Order (C-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(p),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(s),Orbital Charge Amide O(p),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
MIXPUE,82.54,-5.01,201.57,2.62,7.67,7.65,34.7,27.1,15.8,607.55,-3.4116,-2.4784,2.13,1.99,0.29,-0.04,2.54,2.19,3.16,3.16,2.49,1.33,1.24,82.89,77.98,86.77,95.95,106.48,115.14,109.42,126.63,-0.4524,0.1568,-0.1582,0.3354,0.1764,0.1166,-0.4606,0.067,2.1738,2.8315,3.7433,2.0759,3.0423,4.0625,2.0489,29.1226,7.2851,5.7808,25.2036,8.3756,7.2761,5.7306,8.4533,0.6779,0,0.5648,0.2811,0.2509,0.2916,0.6439,0,1.7342,1.1892,2.796,2.7912,0.9434,0.8548,0.993,3.0149,3.5838,1.2756,1.1537,1.1545,3.6206,3.6217,3.5556,3.7133,10.1365,2.036,2.0293,2.0218,2.0175,2.0318,6.4282,12.5647,4.1701,4.1503,4.2443,10.4593,2.0729,2.1433,2.0934,2.0572,2.0925,1.4222,1.5598,1.4126,0.0756,0.0249,0.0153,0.0117,1.2646,1.1556,1.2409,0.2228,0.0467,0.0323,0.059,0.0368,2.7371,2.6962,0.9658,0.8531,0.8774,3.3959,4.4656,1.5842,1.4331,1.4483,-390.21,48.1
OMOMIM,81.11,12.36,245.35,2.17,8.96,8.21,42.6,30.2,18.1,636.71,-3.316,-2.3197,1.93,2.28,-0.02,-0.23,2.63,2.37,3.36,3.28,2.36,1.34,1.23,75.71,84.62,89.9,100.56,101.26,117.03,110.24,126.93,-0.4334,0.1595,-0.2386,0.3599,0.0847,0.0698,-0.4857,0.0268,2.2748,2.82,3.7245,2.0438,2.6598,4.0901,2.0972,28.9423,7.3265,5.7277,25.244,8.4872,7.179,5.6998,8.4392,0.5007,0,0.647,0.1992,0.386,0.579,0.2524,0,1.9248,1.1438,2.7928,2.8258,0.9006,1.0904,0.8348,3.0153,3.5809,1.2376,1.1661,1.1773,3.6021,3.5425,3.792,3.5156,10.1691,2.0287,2.058,2.0265,2.0301,2.0257,6.366,12.5572,4.1644,4.1935,4.1993,10.5099,2.1092,2.1412,2.1174,2.0415,2.1006,1.4357,1.6297,1.4327,0.0762,0.0209,0.0109,0.0199,1.3853,0.9735,1.1569,0.2697,0.0552,0.0395,0.0614,0.0639,2.7411,2.7097,0.9727,0.9566,0.7804,3.4054,4.4964,1.6034,1.5116,1.3814,-367.8,48.1
PUTJUJ,85.12,-3.02,178.33,2.42,7,6.98,32.6,24.1,14.2,615.54,-3.2416,-1.972,1.92,2.32,-0.05,0.12,2.55,3.27,3.43,1.94,2.36,1.3,1.27,63.52,88.44,90.17,76.65,47.95,131.16,111.38,126.29,-0.4476,0.1513,-0.2365,0.4125,-0.1027,0.0784,-0.474,0.0675,2.3332,3.0072,3.803,1.8453,1.943,3.9847,1.9652,28.983,7.204,5.8509,25.233,8.6334,8.4592,5.7374,8.4824,0.6895,0,0.6249,0,0.3241,0.6745,0.1927,0.4823,1.341,1.5412,2.8022,2.8262,0.8248,0.9665,1.0349,3.0217,3.5866,1.1669,1.2489,1.1707,3.5903,3.7659,3.4979,3.5269,10.1836,2.0198,2.0351,2.065,2.0375,2.0263,6.3721,12.5833,4.1882,4.1787,4.2164,10.4919,2.0747,2.1152,2.1392,2.1003,2.0626,1.5781,1.6102,1.4526,0.0716,0.0196,0.0146,0.0134,1.6973,1.3728,1.4446,0.0727,0.0067,0.0152,0.0149,0.0088,2.7333,2.7159,0.9215,0.8704,0.9239,3.3498,4.4982,1.5454,1.4958,1.4569,-304.28,48.1
XEFZOA,64.68,-1.88,174.62,1.7,11.59,10.64,31.9,27.6,21.3,872.17,-3.2968,-2.0797,2.01,2.06,-0.03,0.13,2.53,3.18,3.25,1.88,2.4,1.3,1.28,64.61,82.63,87.89,73.21,54.65,143.73,111.39,127.01,-0.4582,0.1556,-0.2108,0.3888,0.08,0.1023,-0.4598,0.0766,2.3758,3.0541,3.7338,1.9447,1.9895,3.9944,1.9943,29.0524,7.2122,5.8362,25.2462,8.5095,8.4469,5.7182,8.4959,0.6915,0,0.5872,0,0.3109,0.4679,0.4574,0.5435,1.3081,1.5677,2.8002,2.8112,0.8933,0.847,1.0709,3.02,3.5862,1.1824,1.2781,1.1257,3.5984,3.6556,3.4682,3.6884,10.1786,2.0302,2.0443,2.0328,2.0395,2.0318,6.3587,12.5912,4.2347,4.1488,4.2077,10.508,2.0767,2.096,2.1205,2.1271,2.0878,1.4568,1.4899,1.53,0.0729,0.0068,0.0208,0.0088,1.4279,1.5469,1.477,0.0708,0.011,0.0094,0.024,0.0089,2.7317,2.7084,0.8701,0.9184,0.92,3.3408,4.4947,1.4999,1.5789,1.416,-306.19,48.1
YAJCET,82.88,3.41,195.06,2.16,7.66,5.69,37.3,26.5,13.3,584.6,-3.9896,-2.4665,2.07,2.2,-0.06,-0.14,2.57,2.06,3.19,2.88,2.44,1.35,1.23,86.34,78.95,90.83,103.17,99.31,122.56,109.67,125.49,-0.3934,0.1608,-0.1809,0.324,0.197,-0.0397,-0.4607,0.0588,2.2155,2.9962,3.7208,3.2163,2.9616,3.9207,2.0547,29.0339,7.2485,5.705,25.2887,7.1761,7.4989,5.6558,8.4332,0.5485,0,0.5772,0.4771,0.3861,0.5049,0.3166,0,1.7964,1.0314,2.7927,2.799,0.9026,1.0786,0.8178,3.0037,3.5828,1.1815,1.1907,1.2106,3.6332,3.565,3.8444,3.4795,10.1373,2.0209,2.0495,2.0123,2.0298,2.0247,6.3581,12.5658,4.2182,4.1285,4.2191,10.4694,2.0863,2.1076,2.103,2.1056,2.0669,1.2044,1.1132,1.2586,0.228,0.0278,0.0737,0.0243,1.2383,1.204,1.3436,0.1437,0.0316,0.0331,0.0274,0.0261,2.7401,2.6888,0.9779,0.9514,0.7596,3.3982,4.4712,1.5375,1.5729,1.3609,-419.26,48.1
CAEYOR,62.58,-14.68,154.43,2.34,5.45,7.37,24.3,18.1,13.4,626.45,-3.457,-2.0392,2.1,2.13,-0.25,0.88,2.52,3.11,3.21,1.93,2.36,1.3,1.27,65,82.03,89.37,74.43,62.88,167.7,111.7,128.73,-0.4229,0.1725,-0.2308,0.3895,0.0905,0.1076,-0.4484,0.083,2.1314,3.0709,3.6478,2.0122,2.0249,4.0147,2.0549,29.0319,7.2095,5.7312,25.2279,8.4558,8.422,5.7042,8.4923,0.6666,0,0.5693,0,0.3868,0.383,0.386,0.5472,1.39,1.4702,2.792,2.8128,0.828,0.9495,1.0353,3.0056,3.5783,1.1997,1.2329,1.1457,3.6035,3.7826,3.4845,3.5377,10.1792,2.0242,2.0313,2.0589,2.0386,2.0261,6.3641,12.566,4.2069,4.1671,4.1919,10.4926,2.0871,2.091,2.1455,2.107,2.062,1.4912,1.5024,1.4693,0.0711,0.0125,0.0214,0.0093,1.4379,1.4755,1.5337,0.0711,0.0213,0.0098,0.0144,0.0112,2.727,2.7007,0.9786,0.8005,0.9216,3.3429,4.4895,1.5731,1.4762,1.4402,-357.2,48.2
CERXAY,62.67,-12.58,155.13,2.76,5.05,8.88,24.5,18.2,11.9,618.9,-3.3852,-2.032,2.13,2.08,0.77,-0.22,2.53,3.1,3.21,1.91,2.37,1.3,1.27,65.08,81.68,89.51,74.66,62.69,168.04,111.54,128.73,-0.4163,0.1723,-0.2315,0.3686,0.1325,0.0853,-0.4462,0.0866,2.1439,3.0703,3.6577,1.9601,2.0065,3.9974,2.0627,29.0471,7.2094,5.7353,25.2435,8.4407,8.4669,5.6964,8.4872,0.6359,0,0.5786,0,0.3897,0.3683,0.426,0.5676,1.3717,1.4662,2.7918,2.8138,0.929,0.9121,0.9726,3.0059,3.578,1.152,1.2658,1.1601,3.612,3.7888,3.5397,3.4899,10.1787,2.0273,2.0295,2.061,2.0211,2.0397,6.3653,12.5657,4.1542,4.2357,4.1759,10.485,2.0864,2.0969,2.1127,2.0902,2.0987,1.4592,1.4472,1.5199,0.0714,0.0191,0.0029,0.0307,1.5839,1.4412,1.4462,0.0713,0.0077,0.0234,0.0121,0.0146,2.7268,2.6997,0.8434,0.9493,0.907,3.3394,4.4878,1.4648,1.5621,1.461,-356.38,48.2
FOVLOS,84.77,-3.85,183.92,4.67,8.91,9.36,31.6,25.7,19.6,789.5,-3.1168,-2.5274,1.93,2.07,-0.02,0.21,2.5,2.17,3.13,3.29,2.54,1.33,1.24,85.66,76.89,86.15,94.47,113.39,115.31,109.32,126.48,-0.486,0.1497,-0.1413,0.2861,-0.0495,0.1822,-0.4678,0.0439,2.236,2.8156,3.733,1.8528,2.0521,4.0849,2.0382,29.0604,7.2782,5.814,25.256,8.6255,8.4016,5.7234,8.4612,0.707,0,0.5175,0.3206,0.2334,0.7042,0.3157,0,1.7782,1.1578,2.8003,2.7911,0.9133,0.8296,1.0482,3.0206,3.5877,1.2602,1.1697,1.1577,3.6232,3.6635,3.5208,3.746,10.1422,2.0334,2.0267,2.0207,2.0245,2.037,6.4002,12.5957,4.1969,4.1745,4.2243,10.4898,2.0829,2.1784,2.0839,2.0655,2.0791,1.633,1.5632,1.398,0.069,0.0126,0.0242,0.0088,1.4287,1.5443,1.4178,0.0774,0.0096,0.0251,0.0154,0.0132,2.7423,2.7023,0.9758,0.838,0.8885,3.4084,4.4772,1.6217,1.4235,1.432,-372.77,48.2
KAXJIE,68.43,-2.32,202.1,2.8,8.66,6.13,35.4,27.7,16.1,697.68,-2.9565,-1.9736,2.02,1.93,-0.02,0.08,2.54,3.29,3.32,1.94,2.39,1.3,1.28,63.6,84.94,89.19,72.53,51.02,136.46,111.13,126.46,-0.4733,0.1419,-0.2204,0.3733,0.1206,0.1193,-0.4703,0.0697,2.7351,2.9898,3.6985,2.8608,2.9605,4.0547,1.9808,29.2148,7.2105,5.7977,25.2556,7.251,7.1667,5.7752,8.472,0.6535,0,0.5585,0,0.2921,0.4991,0.626,0.498,1.3934,1.5636,2.8038,2.8232,0.9014,0.8793,1.0425,3.0271,3.5935,1.1715,1.2584,1.1636,3.6004,3.5937,3.6601,3.5603,10.1895,2.0273,2.0595,2.0471,2.0339,2.0216,6.3472,12.6775,4.2263,4.2204,4.2309,10.4482,2.0819,2.1208,2.0941,2.083,2.0683,1.2616,1.1306,1.2792,0.2249,0.0228,0.072,0.0315,1.2455,1.1319,1.2962,0.2343,0.046,0.0249,0.0768,0.0265,2.7355,2.7147,0.8324,0.9523,0.9299,3.3506,4.4963,1.4562,1.5786,1.4615,-284.82,48.2
NABGIJ,84.6,-2.77,176.89,2.3,6.72,9.31,32.5,22,12.1,614.46,-3.1983,-1.9067,1.94,2.34,-0.06,0.14,2.54,3.3,3.41,1.96,2.35,1.3,1.27,62.46,88.22,89.7,75.32,51.08,136.65,111.76,126.63,-0.4451,0.1545,-0.2424,0.4075,-0.1152,0.0765,-0.4699,0.0696,2.2974,3.0112,3.7644,1.8421,1.966,3.9887,1.9825,28.997,7.2021,5.8195,25.2259,8.6177,8.4446,5.7421,8.4848,0.6903,0,0.6214,0,0.3239,0.709,0.1545,0.4905,1.3759,1.5297,2.8012,2.8269,0.8152,1.0192,0.9926,3.0184,3.5863,1.1859,1.2057,1.1947,3.595,3.8259,3.5268,3.4339,10.1875,2.0261,2.0258,2.0742,2.0261,2.0353,6.3808,12.5789,4.1536,4.1949,4.2303,10.4852,2.0948,2.0921,2.142,2.0914,2.0648,1.4931,1.6358,1.5162,0.07,0.0195,0.009,0.0185,1.454,1.5931,1.464,0.0732,0.0156,0.0142,0.0133,0.012,2.7328,2.7135,0.962,0.8359,0.9156,3.3484,4.4985,1.5653,1.4571,1.4762,-304.29,48.2
QUFXOE,81.94,-3.89,178.23,3.82,6.82,9.48,34.2,27.2,18,716.64,-3.2186,-1.9258,2.15,1.95,0.2,-0.07,2.53,3.27,3.36,1.97,2.36,1.3,1.27,63.01,86.76,89.23,74.34,53.09,138.89,111.69,126.72,-0.486,0.1547,-0.2348,0.4247,0.1779,-0.0353,-0.4689,0.0614,2.4014,3.0251,3.7262,2.0722,1.8663,4.0079,1.9485,29.0316,7.2081,5.8105,25.2325,8.3643,8.6077,5.7379,8.5108,0.7097,0,0.5893,0,0.318,0.2699,0.7011,0.447,1.3548,1.5441,2.8019,2.8236,0.8583,0.8881,1.0772,3.0182,3.5867,1.1716,1.2632,1.152,3.5773,3.6259,3.529,3.6324,10.1868,2.0301,2.0431,2.0444,2.0357,2.0335,6.3679,12.6011,4.2082,4.1595,4.2335,10.5166,2.0976,2.1783,2.1167,2.0456,2.0784,1.3975,1.5377,1.4545,0.0751,0.016,0.0242,0.0089,1.6283,1.5475,1.4101,0.07,0.0073,0.0127,0.0246,0.0081,2.7327,2.7137,0.8664,0.9078,0.9395,3.3533,4.503,1.4723,1.5591,1.4716,-305.85,48.2
QUMBUV,69.7,-2.01,176.69,2.73,7.38,9.17,33.7,28.6,19.2,739.62,-2.9028,-1.8826,1.92,1.93,0.03,0.05,2.45,2.87,3.77,3.43,2.34,1.31,1.24,70.19,104.02,87.79,97.96,89.56,109.65,111.65,127.81,-0.4701,0.132,-0.2349,0.5068,0.0108,0.0191,-0.5245,-0.0424,2.3091,2.8241,3.7492,2.7694,2.8361,4.189,2.0096,29.1923,7.3148,5.709,25.079,7.362,7.3514,5.7633,8.518,0.7402,0,0.6651,0,0.3177,0.6007,0.5854,0,1.8413,1.3521,2.8045,2.8346,0.9064,1.0996,0.8287,3.0228,3.6098,1.2623,1.1514,1.196,3.5444,3.2864,3.8066,3.6215,10.208,2.018,2.0689,2.0403,2.0516,2.0292,6.4649,12.6537,4.132,4.238,4.2837,10.3512,2.0367,2.0184,2.1108,2.0664,2.1188,1.3236,1.1262,1.3006,0.2205,0.0247,0.0712,0.0262,1.2895,1.155,1.2979,0.2203,0.0452,0.0275,0.0659,0.0281,2.7424,2.7327,0.8651,0.9467,0.9208,3.4151,4.5581,1.4949,1.4795,1.5837,-264.55,48.2
TIQJIO,86.95,-6.64,194.08,2.81,13.09,9.86,37.7,32.2,21.9,927.99,-3.1014,-2.4539,1.95,2.06,-0.05,0.33,2.5,2.16,3.13,3.31,2.52,1.34,1.24,85.7,77.29,86.58,94.79,113.87,114.5,109.33,126.33,-0.5115,0.1512,-0.1482,0.307,-0.0927,0.1979,-0.4669,0.0423,2.2502,2.8184,3.7504,1.8177,2.0277,4.1015,2.0614,29.0483,7.283,5.8079,25.2648,8.6253,8.4154,5.7364,8.4529,0.6963,0,0.5247,0.3291,0.2385,0.6768,0.3154,0,1.83,1.1472,2.7992,2.7936,0.888,0.8101,1.0955,3.0189,3.5881,1.2718,1.143,1.1733,3.6153,3.5343,3.5983,3.777,10.1493,2.0467,2.0266,2.0173,2.0308,2.0279,6.3904,12.5978,4.2081,4.1947,4.1951,10.523,2.1109,2.1674,2.0764,2.0759,2.0924,1.6296,1.6003,1.3982,0.0705,0.0155,0.0201,0.0098,1.4115,1.558,1.4091,0.0787,0.0168,0.0185,0.0162,0.0139,2.7419,2.7015,0.9727,0.8217,0.9071,3.4084,4.4788,1.6447,1.3956,1.4384,-376.97,48.2
