Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-C (A),Cu-N (A),Amide C-N (A),Amide C-O (A),Cu-I-C (°),I-C-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),C-Cu-I (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (C),Lowdin Charge (N),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (C),Bonded Valence (N),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (C),Atomic Population (N),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (Cu-N),Bond Order (C-I),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
TITWEY,60.81,1.42,150.45,2.14,7.18,10.41,24.6,16,11.6,657.78,-2.9771,-1.4198,2.25,2.08,-0.21,0.1,2.64,2.32,2.04,1.3,1.26,56.7,72.13,91.79,156.82,111.15,51.17,122.05,-0.372,-0.3172,0.0989,0.5282,0.0618,0.075,-0.5131,0.0285,2.5137,3.6923,2.8848,1.373,1.9597,1.9978,3.9735,1.9502,29.0866,5.6795,7.2977,25.1396,8.4615,8.4557,5.7111,8.5019,0.4812,0.2141,0.5398,0.7091,0.2799,0.4462,0.3046,1.539,1.3394,2.7778,0.9473,0.9502,1.0649,3.0035,1.1443,1.2245,1.2898,3.5614,3.3544,3.504,3.8416,10.1834,2.0778,2.03,2.013,2.0433,2.0194,6.3216,12.5207,4.2116,4.1735,4.1356,10.5294,2.0753,2.115,2.0787,2.1465,2.1138,1.4319,1.4626,0.0675,0.0103,0.0232,0.0083,1.4358,1.5856,1.4578,0.0702,0.0029,0.0144,0.0197,0.0085,2.7308,2.7172,0.9279,0.8088,0.9805,1.4526,1.4676,1.5956,-122.22,18.5
TOYWIN,80.34,-0.42,171.81,1.71,7.6,7.64,32.2,21.1,11.5,569.48,-3.4224,-1.5832,2.25,2.01,0.15,-0.12,2.66,2.22,1.98,1.32,1.24,53.67,74.43,120.66,127.89,111.27,51.9,125.86,-0.3742,-0.3198,0.0802,0.5252,0.171,-0.088,-0.5288,-0.0411,2.6492,3.6422,2.9533,1.3461,2.1073,1.8307,4.2545,2.0092,29.137,5.6137,7.2892,25.1154,8.3107,8.6147,5.8139,8.5179,0.4592,0.2165,0.6959,0.7036,0.227,0.5702,0,1.8421,1.3033,2.7741,0.9678,0.9438,1.0463,2.9967,1.2817,1.2547,1.1439,3.5654,3.4834,3.6317,3.5963,10.1723,2.0449,2.0384,2.0378,2.0347,2.0167,6.3517,12.5588,4.2469,4.1594,4.1525,10.4635,2.0937,2.14,2.0912,2.1079,2.0307,1.3661,1.4917,0.0725,0.0117,0.0208,0.0084,1.6491,1.3475,1.6222,0.0663,0.0162,0.0032,0.0174,0.0082,2.7419,2.7341,0.9634,0.8062,0.9645,1.6001,1.4475,1.5142,-109.98,18.5
WABBUA,79.81,16.81,181.82,1.7,13.09,8.05,32.2,24.1,16.8,837.93,-3.6924,-2.5431,1.97,2.12,-0.06,-0.22,2.59,2.04,2.13,1.3,1.26,49.52,74.74,89.48,157.74,110.78,55.74,121.92,-0.391,-0.3155,0.1122,0.5046,0.1088,0.1359,-0.5093,0.0436,3.0042,3.5307,2.6957,1.3224,2.0304,2.0017,4.0743,1.9452,29.1277,5.4983,7.3248,25.1741,8.4205,8.4046,5.7573,8.4804,0.5991,0.3307,0.396,0.5251,0.5208,0.3354,0.3071,1.5352,1.3457,2.7671,0.9662,0.9631,1.0288,3.0095,1.2609,1.2041,1.1802,3.571,3.3774,3.7407,3.6179,10.1634,2.0364,2.0462,2.0187,2.0349,2.0273,6.3055,12.5773,4.204,4.2031,4.1702,10.5078,2.1705,2.1527,2.0513,2.0742,2.0591,1.4633,1.3948,0.0745,0.0181,0.0226,0.0087,1.383,1.4338,1.6093,0.0735,0.0194,0.0076,0.0193,0.0092,2.7303,2.7172,0.9446,0.8235,0.9491,1.4907,1.4644,1.5471,-63.35,18.5
WOCREL,75.9,3.63,163.99,1.7,6.58,8.38,26.2,18,9.7,556.87,-4.5474,-2.7494,2.06,2.47,0.18,-0.51,2.51,1.94,2.03,1.3,1.26,46.21,68.57,91.76,156.94,111.3,65.22,120.98,-0.3928,-0.2386,0.1149,0.4104,0.217,0.1686,-0.5029,0.0423,3.0085,3.5624,2.8121,1.2787,2.2079,2.9362,4.1067,1.9521,29.1695,5.4854,7.2015,25.2094,8.2285,7.1054,5.7805,8.4717,0.8229,0.4146,0.4735,0.2775,0.3964,0.1306,0.3244,1.5718,1.3585,2.7708,0.9283,0.9637,1.0138,3.0008,1.2682,1.2288,1.1504,3.613,3.4036,3.7632,3.6633,10.1283,2.0375,2.0343,2.0199,2.027,2.0096,6.3264,12.6,4.232,4.1931,4.175,10.466,2.1344,2.1755,2.0822,2.0861,1.9879,1.36,1.4655,0.0754,0.0106,0.027,0.0086,1.0885,1.3185,1.0618,0.2757,0.0288,0.0621,0.069,0.026,2.7288,2.7082,0.9856,0.7811,0.9415,1.5193,1.4618,1.5237,-132.5,18.5
XAQXOD,80.96,2.01,202.51,2.44,6.47,6.69,38,30.6,15.2,576.61,-3.8723,-2.3486,2,2.51,-0.04,-0.28,2.56,1.98,1.99,1.32,1.24,47.32,71.75,122.44,127.11,110.35,60.93,127.24,-0.3483,-0.2656,0.0903,0.4219,-0.0848,0.1508,-0.5157,-0.0231,3.1436,3.5513,2.9958,1.3034,1.8328,3.0106,4.2859,2.019,29.1764,5.4861,7.26,25.1988,8.5808,7.1678,5.8235,8.4927,0.6528,0.4215,0.669,0.4462,0.603,0.1629,0,1.8327,1.3198,2.7715,0.8838,0.9712,1.0618,3.0009,1.2767,1.1876,1.2081,3.6017,3.3066,3.7447,3.7428,10.1621,2.0573,2.0342,2.0211,2.0392,2.0103,6.343,12.6271,4.2633,4.1912,4.1726,10.3778,2.1352,2.1356,2.0719,2.0494,1.9857,1.6646,1.3584,0.0692,0.0171,0.02,0.0083,1.1328,1.3617,1.1124,0.2921,0.0481,0.0861,0.0469,0.0622,2.7414,2.7248,0.9754,0.8899,0.8595,1.6232,1.4642,1.4568,-109.57,18.5
YOPHIV,91.63,2.72,189.21,2,11.83,9.71,33.4,27.8,20,789.37,-3.3855,-1.9199,1.99,2.09,-0.09,-0.02,2.64,2.18,1.99,1.32,1.24,52.75,74.83,123.44,124.38,111.21,52.42,126.29,-0.3786,-0.3254,0.0857,0.5237,-0.0469,0.1755,-0.5241,-0.0417,2.7909,3.5546,2.9545,1.3289,1.818,2.0645,4.2199,1.9981,29.1988,5.5759,7.2641,25.1288,8.6261,8.3206,5.7982,8.5278,0.4631,0.2175,0.688,0.6906,0.5705,0.3375,0,1.7993,1.3211,2.7711,0.9295,0.961,1.0715,2.9981,1.2307,1.2388,1.2061,3.5637,3.2976,3.6559,3.7631,10.1703,2.0624,2.0341,2.0169,2.0455,2.0113,6.3349,12.5892,4.2344,4.1764,4.1784,10.4542,2.0913,2.0976,2.0706,2.1458,2.049,1.6175,1.3988,0.0712,0.0189,0.018,0.0106,1.4957,1.3913,1.5085,0.0764,0.019,0.0068,0.0217,0.0113,2.7412,2.732,0.9644,0.8212,0.9464,1.5538,1.4531,1.5557,-86.25,18.5
BCYSTM,77.19,-0.73,198.88,3.08,7.82,11.51,36.9,29.9,21,728.59,-3.4521,-1.4166,2.27,2,0.07,-0.08,2.62,2.29,2,1.32,1.24,56.26,72.12,121.54,126.74,111.43,51.62,126.16,-0.3798,-0.3163,0.0891,0.5576,0.1458,0.0951,-0.529,-0.0365,2.6256,3.6459,2.935,1.3587,2.0591,3.0253,4.0247,2.0144,29.1625,5.6587,7.3689,25.1294,8.3682,7.3827,5.6972,8.531,0.4757,0.1987,0.6699,0.7287,0.241,0.6368,0,1.8095,1.2235,2.774,0.9306,0.9448,1.0809,2.9986,1.2952,1.2455,1.1315,3.5489,3.2612,3.6027,3.8144,10.1877,2.0781,2.03,2.0157,2.0492,2.0148,6.3498,12.5676,4.235,4.1916,4.141,10.4621,2.1161,2.0998,2.0842,2.1265,2.0356,1.3857,1.4516,0.0719,0.0145,0.025,0.0079,1.2549,1.2549,1.1793,0.2184,0.0299,0.0381,0.0604,0.0281,2.7422,2.7356,0.973,0.8075,0.955,1.6379,1.4357,1.4827,-127.4,18.6
BOLPEX,76.48,11.99,170.11,1.7,8.31,7.81,30.7,23.1,15.5,656.05,-4.4734,-3.6168,1.99,2.2,-0.08,-0.27,2.51,1.96,2.11,1.3,1.26,46.18,67.37,88.49,160.79,110.71,66.45,120.98,-0.4123,-0.2196,0.1306,0.3642,0.1521,0.16,-0.5003,0.0681,3.2161,3.3796,2.6847,1.2063,2.0926,1.9211,4.0827,1.9784,29.2018,5.4317,7.2675,25.272,8.3339,8.4694,5.7705,8.4427,0.8272,0.3731,0.3896,0.1933,0.5175,0.2383,0.3775,1.5333,1.2997,2.7734,0.9172,0.9549,1.0246,3.0063,1.2595,1.2072,1.1632,3.6208,3.4032,3.7623,3.7071,10.125,2.0304,2.0354,2.0139,2.0298,2.0154,6.3239,12.6244,4.2207,4.2266,4.1771,10.4636,2.1446,2.1784,2.0441,2.0588,2.0378,1.4237,1.3953,0.0757,0.0193,0.0216,0.0092,1.39,1.4093,1.6009,0.0743,0.0193,0.0091,0.0195,0.0098,2.7272,2.7095,0.9612,0.8042,0.944,1.4912,1.4564,1.5356,-152.98,18.6
CEHNUZ,86.93,-2.47,205.67,2.22,8.86,8,35.3,27.5,16.4,678.27,-3.6669,-1.6575,2.17,1.98,-0.13,0.05,2.63,2.24,2.03,1.31,1.24,54.8,73.29,119.27,127.56,111.36,51.91,126.46,-0.3806,-0.3221,0.0867,0.5812,0.218,0.1803,-0.5318,-0.0518,2.8207,3.4475,2.9479,1.4184,2.9925,3.2301,4.3415,1.9974,29.2801,5.5391,7.2476,25.0861,7.2378,7.1577,5.85,8.5344,0.5278,0.1778,0.5918,0.6958,0.3477,0.6513,0,1.8528,1.3911,2.7731,1.0628,0.9499,0.9467,3.0026,1.2885,1.2183,1.1666,3.5525,3.7075,3.7375,3.216,10.1781,2.0276,2.0342,2.0357,2.0266,2.054,6.3281,12.6215,4.2193,4.1874,4.2148,10.4307,2.1323,2.097,2.065,2.07,2.0664,1.1472,1.2989,0.2246,0.0204,0.0765,0.0192,1.1372,1.2664,1.1691,0.249,0.0274,0.0546,0.0765,0.021,2.7432,2.7357,0.9696,0.8475,0.9186,1.6313,1.4643,1.4734,-117.52,18.6
FOKYIO,61.29,1.7,154.85,3.03,9.65,14.59,23.8,16,12.5,869.26,-3.0906,-1.6955,2.1,2.21,-0.01,-0.12,2.66,2.29,2.05,1.3,1.26,55.6,73.21,91.49,157.18,111.17,51.19,122.04,-0.3615,-0.3199,0.1001,0.526,0.0766,0.0982,-0.5124,0.0293,2.5635,3.7481,2.8815,1.3652,1.9704,1.9729,3.9864,1.9476,29.1401,5.6941,7.2921,25.1287,8.4829,8.4634,5.7186,8.5015,0.4732,0.2326,0.5365,0.7261,0.4483,0.3257,0.3175,1.5242,1.3501,2.7767,0.9403,0.9764,1.0467,3.004,1.1425,1.2308,1.2843,3.5655,3.2223,3.6536,3.8283,10.1779,2.0712,2.0344,2.0111,2.0498,2.0114,6.3176,12.5199,4.2146,4.167,4.1383,10.5238,2.0988,2.1058,2.1002,2.1286,2.0903,1.4465,1.5585,0.0688,0.0029,0.0188,0.0084,1.4216,1.4635,1.5656,0.068,0.0098,0.0078,0.0241,0.0084,2.7307,2.7168,0.9378,0.8127,0.9663,1.4497,1.4809,1.5848,-124.82,18.6
JADNIM,85.09,8.55,203.24,2.37,7.12,6.41,40.1,32.5,19.3,631.16,-3.8048,-2.3717,2.1,2.02,-0.15,-0.04,2.62,2.16,2,1.32,1.24,52.4,73.87,118.75,127.68,110.83,53.73,125.97,-0.3683,-0.3169,0.1009,0.5412,0.1158,0.2159,-0.5217,-0.025,2.987,3.3055,2.9793,1.3821,1.9904,3.0118,4.3182,1.987,29.2865,5.3808,7.2264,25.1455,8.4347,7.0645,5.8458,8.5095,0.5825,0.2056,0.6306,0.5501,0.3727,0.5314,0,1.7735,1.4044,2.7715,0.936,0.9684,1.0547,2.9983,1.2858,1.2333,1.1429,3.5628,3.3534,3.6715,3.6693,10.1761,2.0581,2.0409,2.0231,2.04,2.014,6.3299,12.6046,4.2389,4.206,4.1597,10.4335,2.1137,2.1051,2.0606,2.1109,2.0431,1.4389,1.4069,0.0727,0.0204,0.0105,0.0182,1.1762,1.2718,1.115,0.2196,0.0373,0.0388,0.0553,0.0337,2.7394,2.7282,0.9788,0.8061,0.9433,1.6301,1.441,1.4779,-94.1,18.6
JERZEM,60.73,2.18,165.11,2.09,11.87,6.39,24.1,19.1,14,680.74,-3.1755,-2.7995,2.04,2.29,0.08,-0.23,2.61,2.24,2.07,1.3,1.26,54.86,72.53,90.12,157.68,111.12,52.61,121.29,-0.3852,-0.3162,0.1043,0.5417,0.1311,0.0727,-0.5079,0.0291,2.5506,3.6243,2.833,1.3884,1.9695,1.9972,3.9313,1.9297,29.097,5.6072,7.3091,25.1306,8.4306,8.4478,5.6893,8.5137,0.5528,0.2395,0.4824,0.6571,0.4185,0.2273,0.3391,1.4996,1.3412,2.7724,0.9309,0.9423,1.0869,3.0078,1.2186,1.2074,1.2254,3.5561,3.3332,3.5357,3.8262,10.1797,2.0731,2.0318,2.0109,2.0455,2.0184,6.3123,12.5351,4.2195,4.1644,4.1512,10.5375,2.0812,2.1257,2.0593,2.1682,2.1031,1.4393,1.551,0.0733,0.0059,0.0253,0.009,1.4133,1.466,1.5902,0.0676,0.0145,0.0013,0.019,0.0083,2.7306,2.7153,0.9535,0.8473,0.9145,1.4575,1.5059,1.5532,-129.51,18.6
LETWAJ,89.8,5.69,184.84,4.37,8.78,9.02,37.9,31.8,20.5,698.88,-3.379,-1.6025,2.12,2.01,-0.04,-0.1,2.69,2.17,1.99,1.32,1.24,51.78,76.69,121.58,127.25,111.03,51.52,126.2,-0.3705,-0.3322,0.0864,0.5191,0.1957,-0.0618,-0.5279,-0.0423,2.7801,3.5529,2.9301,1.3159,2.0586,1.8494,4.1917,2.007,29.1269,5.5397,7.3222,25.1238,8.3417,8.6046,5.7708,8.5279,0.4324,0.241,0.6835,0.6817,0.2822,0.5279,0,1.8246,1.2868,2.7709,0.9779,0.943,1.0453,2.9973,1.2922,1.2437,1.1386,3.5667,3.4595,3.6603,3.5945,10.1745,2.0474,2.0389,2.0379,2.0324,2.018,6.3332,12.5711,4.2431,4.1668,4.1613,10.4658,2.0975,2.1509,2.0943,2.099,2.024,1.4461,1.4057,0.0755,0.0172,0.0232,0.0101,1.6138,1.383,1.6117,0.0681,0.0163,0.0038,0.0179,0.0088,2.7415,2.7336,0.9752,0.8034,0.955,1.6327,1.4397,1.4901,-79.26,18.6
MABSOZ,60.03,2.88,150.35,2.32,7.3,9.41,24.2,18,13.6,643.54,-3.2513,-2.8891,2.11,2.27,-0.02,-0.19,2.63,2.13,2.06,1.3,1.26,51.67,75.37,88.93,159.91,111.03,52.97,121.51,-0.356,-0.3348,0.1045,0.5535,0.0867,0.0699,-0.5063,0.0421,2.698,3.6751,2.8564,1.3647,1.9837,1.9643,3.9195,1.9583,29.1323,5.6056,7.2769,25.15,8.4528,8.4579,5.698,8.4924,0.5039,0.3276,0.5147,0.6705,0.4125,0.2524,0.3735,1.489,1.3398,2.7683,0.9808,0.9863,1.0015,3.0058,1.1244,1.226,1.3014,3.5513,3.3193,3.6248,3.7367,10.1872,2.0651,2.0383,2.0211,2.0391,2.0237,6.3065,12.5347,4.1964,4.1709,4.1675,10.5145,2.1039,2.1822,2.0697,2.0672,2.0916,1.4825,1.5227,0.0699,0.0062,0.0171,0.0094,1.4415,1.4791,1.5539,0.0675,0.0156,0.0132,0.0155,0.0097,2.7287,2.7125,0.933,0.8147,0.9649,1.4661,1.4862,1.556,-109.28,18.6
MOSRIW,95.18,-0.45,190.79,3.37,8.57,9.61,35.4,29,20.7,773.41,-3.3479,-1.4852,1.96,2.15,-0.05,-0.11,2.66,2.2,1.97,1.31,1.24,53.23,74.85,119.73,128.2,111.66,51.92,126.04,-0.335,-0.3334,0.0999,0.5215,0.0148,0.1532,-0.5261,-0.0426,2.8479,3.6634,3.0489,1.2978,1.8883,2.0467,4.1656,1.9849,29.1445,5.6164,7.2635,25.1666,8.5904,8.3869,5.784,8.5442,0.451,0.2689,0.7342,0.6538,0.663,0.2858,0,1.7687,1.3339,2.7741,0.9317,0.9462,1.092,2.9919,1.2819,1.2411,1.1418,3.5593,3.2414,3.6478,3.8157,10.1879,2.0784,2.0305,2.0153,2.0493,2.0144,6.3377,12.5624,4.2459,4.1758,4.1407,10.4346,2.1164,2.1153,2.068,2.0979,2.037,1.6189,1.3535,0.0701,0.0163,0.0228,0.0081,1.4668,1.4369,1.5065,0.0747,0.0189,0.0021,0.0212,0.0084,2.7399,2.734,0.9699,0.8094,0.9547,1.6121,1.451,1.5006,-127.53,18.6
RUTJIA,97.54,0.54,206.22,3.56,12.01,11.74,35.3,30.7,25.4,904.53,-3.0879,-1.346,1.96,2.16,-0.05,-0.11,2.62,2.37,2,1.31,1.24,58.67,70.21,123.84,124.66,111.4,51.12,126.69,-0.3837,-0.3206,0.0929,0.5494,-0.0448,0.1597,-0.5279,-0.046,2.7289,3.7281,2.9863,1.3792,1.8541,1.9674,4.1525,1.982,29.11,5.7116,7.2713,25.1789,8.5821,8.4568,5.7799,8.5397,0.4802,0.1999,0.6849,0.6812,0.6969,0.2802,0,1.7723,1.321,2.7811,0.9209,0.9559,1.0864,2.9963,1.2646,1.2663,1.1387,3.5505,3.5087,3.4111,3.7498,10.2019,2.0671,2.0296,2.0284,2.0504,2.0265,6.3496,12.5812,4.223,4.206,4.1523,10.4526,2.055,2.0934,2.0832,2.156,2.065,1.6502,1.3753,0.0695,0.0153,0.0225,0.0081,1.4926,1.4478,1.4703,0.075,0.0184,0.0019,0.0211,0.0088,2.7417,2.7354,0.9151,0.8692,0.9511,1.5567,1.5166,1.4923,-106.23,18.6
TAYGAC,78.48,5.36,205.12,3.22,11.31,8.76,39.3,29.7,16.6,774.3,-3.5516,-2.1455,2.01,2.26,-0.08,-0.01,2.58,1.97,2.01,1.32,1.24,46.92,73.17,121.63,127.59,110.52,59.92,126.97,-0.3712,-0.282,0.0944,0.3747,-0.0969,0.1331,-0.5236,-0.0306,3.128,3.4151,3.0147,1.2503,1.8841,2.9642,4.2528,2.0005,29.1872,5.441,7.2722,25.2533,8.5658,7.2664,5.8043,8.5132,0.63,0.3812,0.6782,0.4361,0.5845,0.2708,0,1.8097,1.3407,2.7709,0.9397,0.9703,1.014,3,1.2611,1.225,1.1827,3.6049,3.4733,3.7714,3.593,10.1623,2.0329,2.0481,2.0274,2.0292,2.0246,6.3343,12.6375,4.2597,4.2039,4.174,10.399,2.1549,2.1344,2.0427,2.0482,2.0189,1.6292,1.3762,0.0678,0.0172,0.018,0.0089,1.1883,1.3337,1.1327,0.2291,0.025,0.0408,0.0596,0.0512,2.7412,2.7299,0.9702,0.8429,0.9169,1.5976,1.4663,1.4871,-110.64,18.6
UGEGUI,87.68,4.39,203.9,1.65,6.4,7.32,34.7,26.8,15,583.29,-3.3678,-1.5478,2.17,2.01,-0.08,-0.04,2.64,2.33,1.98,1.31,1.24,56.91,71.78,120.95,125.43,111.35,51.3,126.44,-0.3521,-0.3151,0.0857,0.5398,0.1447,0.1704,-0.5295,-0.0445,2.5677,3.6218,2.9654,1.3659,2.0562,3.0244,4.2551,2.0016,29.1478,5.6493,7.3037,25.1273,8.423,7.1533,5.8134,8.531,0.4979,0.1974,0.6894,0.7013,0.2859,0.542,0,1.8488,1.337,2.7789,0.933,0.9668,1.0598,2.9976,1.2927,1.2201,1.162,3.561,3.2518,3.7077,3.7372,10.1764,2.0583,2.04,2.0151,2.0504,2.0127,6.3423,12.5739,4.248,4.182,4.1439,10.4357,2.1365,2.1023,2.048,2.0912,2.0576,1.4118,1.4364,0.071,0.0172,0.0194,0.0084,1.1935,1.2545,1.1578,0.2261,0.0294,0.0318,0.0616,0.0201,2.7423,2.7333,0.9706,0.8502,0.9125,1.6288,1.4627,1.471,-123.77,18.6
XIKPUF,91.18,1.43,189.09,2.28,7.29,7.9,33,21.9,14,610.25,-3.533,-2.7516,2.13,1.92,-0.12,-0.06,2.62,2.16,1.99,1.32,1.24,52.1,73.29,120.54,127.62,111.51,54.61,126.06,-0.3624,-0.3087,0.0995,0.4827,-0.0412,-0.0969,-0.5228,-0.0344,3.0546,3.6078,3.0024,1.3158,1.6489,1.9053,4.1943,2.002,29.1611,5.5767,7.2652,25.1943,8.5009,8.5334,5.7849,8.5298,0.5558,0.2773,0.6917,0.5457,0.3279,0.6963,0,1.8095,1.3179,2.7751,0.9111,0.9498,1.0914,2.996,1.271,1.2481,1.1465,3.5793,3.2606,3.6589,3.8194,10.1746,2.0778,2.0294,2.011,2.0459,2.0105,6.3423,12.6085,4.2528,4.1975,4.1583,10.4112,2.1228,2.0963,2.0822,2.0883,2.0216,1.4527,1.3808,0.0962,0.0337,0.0146,0.0188,1.6487,1.4199,1.55,0.071,0.0137,0.0076,0.0235,0.0085,2.7402,2.731,0.9692,0.8109,0.9509,1.6053,1.4473,1.5036,-165.8,18.6
XIPNOC,84.15,0.87,183.38,1.33,8.78,12.91,29.1,18.8,12,768.53,-3.2331,-2.1867,1.96,2.04,0.02,-0.08,2.56,2.31,2,1.32,1.24,57.54,69.14,120.26,123.38,111.12,53.32,126,-0.4135,-0.2988,0.0839,0.5427,0.1486,0.0358,-0.527,-0.0436,2.824,3.537,2.8876,1.399,2.0791,1.9828,4.2149,2.0031,29.1612,5.5829,7.2934,25.1627,8.3683,8.4979,5.791,8.5257,0.6165,0.1759,0.6303,0.5907,0.528,0.4541,0,1.8057,1.3019,2.7772,0.9842,0.9549,1.0071,3.0044,1.2792,1.2164,1.1778,3.5497,3.506,3.7048,3.4824,10.1864,2.0385,2.0489,2.0347,2.0361,2.0282,6.3311,12.6218,4.2542,4.1873,4.1803,10.4604,2.1431,2.1138,2.0711,2.0804,2.052,1.4173,1.4462,0.0799,0.0127,0.0274,0.0084,1.5048,1.3995,1.6117,0.071,0.0179,0.0037,0.0213,0.008,2.7424,2.7326,0.964,0.8435,0.9251,1.6029,1.4524,1.5091,-182.86,18.6
XOFJAG,76.42,1.5,217.82,2.71,6.95,12.03,37.2,30.5,18.7,799.9,-4.7697,-3.4526,2.07,2.26,0.05,-0.2,2.51,1.98,3.12,1.3,1.27,47.35,68.42,64.11,163.25,109.61,64.23,125.63,-0.3487,-0.2433,0.0777,0.4411,0.1556,0.1662,-0.4738,0.1166,2.9835,3.4824,2.8364,1.2953,3.2051,2.1148,3.7453,2.014,29.1671,5.4395,7.4573,25.2016,6.9472,8.3808,5.581,8.4617,0.8106,0.3419,0,0.2919,0.4787,0.2772,0.5464,1.2875,1.3971,2.773,0.9146,0.9465,1.0543,3.0594,1.2284,1.2072,1.2075,3.6131,3.4209,3.6195,3.7502,10.1363,2.0287,2.0263,2.0177,2.042,2.0215,6.3356,12.6001,4.2166,4.2521,4.1314,10.4127,2.0119,2.1192,2.077,2.0832,2.1214,1.1212,1.2528,0.3054,0.027,0.095,0.0402,1.3942,1.4257,1.5779,0.0717,0.0192,0.0086,0.0178,0.0097,2.7351,2.7104,0.9321,0.8289,0.9494,1.4378,1.4754,1.5487,-118.23,18.6
XYLTOL,88.88,-1.05,186.8,2.27,7.09,8.04,31.2,20.2,10.6,561.21,-2.7239,-1.3165,1.98,2.05,-0.01,-0.01,2.57,2.48,2.02,1.31,1.24,62.26,66.41,124.37,123.47,111.25,51.34,127.04,-0.446,-0.2991,0.0928,0.4942,-0.1459,-0.112,-0.5345,-0.0607,2.761,3.5851,2.9182,1.3554,1.8693,1.7449,4.2347,1.9903,29.1075,5.666,7.2585,25.2142,8.5649,8.672,5.814,8.5337,0.5262,0.133,0.6269,0.6175,0.6404,0.4175,0,1.8112,1.3131,2.7872,0.9393,0.9579,1.0535,3.0022,1.2672,1.2422,1.1548,3.5526,3.4711,3.6004,3.6419,10.2105,2.0675,2.0488,2.0322,2.0449,2.0172,6.3554,12.6215,4.2379,4.1953,4.1884,10.4688,2.1376,2.1116,2.0535,2.1055,2.0606,1.6829,1.4527,0.0705,0.0106,0.0241,0.0078,1.6383,1.4266,1.5651,0.0704,0.0165,0.0062,0.018,0.0107,2.7441,2.74,0.956,0.8278,0.9561,1.5887,1.4725,1.5169,-143.67,18.6
YUPTUZ,94.38,5.26,218.46,3.24,9.22,8.44,38.1,33,24.3,774.9,-3.5987,-1.7816,2.36,1.97,-0.39,-0.01,2.64,2.23,1.98,1.32,1.24,53.96,73.2,116.07,130.15,111.06,52.84,126.22,-0.328,-0.3124,0.0866,0.5648,0.2269,0.0316,-0.5162,-0.0228,2.7757,3.6007,2.9894,1.3888,2.8859,1.8459,4.1325,1.9928,29.1044,5.6169,7.2896,25.1075,7.3187,8.6084,5.7469,8.5295,0.5201,0.2334,0.7049,0.6764,0.2391,0.5231,0,1.7643,1.3078,2.7766,0.9185,0.9462,1.0946,2.9965,1.2549,1.2196,1.2023,3.5657,3.1315,3.7114,3.8299,10.1719,2.0584,2.026,2.0124,2.0625,2.0126,6.3295,12.5518,4.2554,4.1661,4.1303,10.4464,2.1454,2.1008,2.0732,2.0642,2.0628,1.2707,1.0957,0.2341,0.0408,0.0409,0.0577,1.5177,1.4067,1.6041,0.0725,0.0181,0.0053,0.0198,0.009,2.7384,2.7256,0.9347,0.8404,0.9505,1.5449,1.4478,1.5543,-136.2,18.6
