Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-C (A),Cu-N (A),Amide C-N (A),Amide C-O (A),Cu-I-C (°),I-C-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),C-Cu-I (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (C),Lowdin Charge (N),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (C),Bonded Valence (N),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (C),Atomic Population (N),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-N),Bond Order (C-I),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
KISRIQ,80.87,4.15,187.61,3.15,6.86,9.9,38,30.9,19,705.44,-5.5516,-2.1027,2.23,2.26,0,-0.27,2.54,2,1.95,1.31,1.25,46.78,68.29,98.55,148.49,111.79,64.93,121.62,-0.3809,-0.1982,0.1077,0.4016,0.26,0.1527,-0.5069,0.0212,3.0425,3.5448,2.8598,1.2615,3.1365,2.0939,3.9633,1.9556,29.1459,5.4205,7.289,25.233,7.0716,8.3764,5.6842,8.5086,0.8134,0.6047,0.2715,0.3567,0.2441,0.1934,1.6369,1.2469,2.7661,0.8731,0.9516,1.056,2.9828,1.2171,1.2643,1.1844,3.2974,3.7415,3.8026,10.1248,2.0489,2.0251,2.0104,2.0317,2.0088,6.3074,12.5793,4.267,4.1875,4.1247,10.4939,2.1062,2.1202,2.0902,2.1087,2.0685,1.1104,1.3014,0.2729,0.0436,0.0498,0.0628,1.4168,1.4353,1.5659,0.0714,0.0152,0.0024,0.0239,0.0088,2.7268,2.699,0.9553,0.8015,0.9422,1.4863,1.4794,1.5622,-143.69,21.1
LENMEX,86.41,0.36,185.38,1.7,6.34,14.02,28.8,17,9.5,727.28,-3.917,-0.9625,2.02,1.98,-0.03,-0.03,2.57,2.44,2,1.31,1.24,61.17,67.41,125.34,122.79,111.37,51.42,126.67,-0.4616,-0.2857,0.0869,0.5671,-0.0248,0.0327,-0.5311,-0.0755,2.3569,3.6265,2.8576,1.3359,1.9078,1.9722,4.2822,1.9766,29.044,5.6125,7.2565,25.1433,8.5658,8.5089,5.8242,8.5494,0.4721,0.6025,0.7028,0.4208,0.4802,0,1.8463,1.3357,2.7761,0.9848,0.9446,1.014,2.9959,1.3008,1.2388,1.1376,3.5532,3.6662,3.4599,10.1777,2.0387,2.0417,2.0386,2.0347,2.024,6.3118,12.5999,4.2387,4.1793,4.1819,10.5496,2.1401,2.1226,2.0921,2.1219,2.0729,1.5515,1.3911,0.0688,0.0156,0.021,0.0076,1.4895,1.4868,1.5512,0.0725,0.0109,0.0083,0.0246,0.0079,2.7417,2.7238,0.9695,0.8028,0.9516,1.6287,1.4747,1.4944,-121.59,21.1
UFORUE,87.5,2.76,178.28,2.29,5,5.87,31.1,21.3,9.1,510.25,-4.9263,-1.0608,2.4,1.98,-0.21,-0.06,2.62,2.25,1.96,1.32,1.24,54.63,72.38,119.57,128.4,111.75,52.98,125.69,-0.3778,-0.293,0.0826,0.567,0.1554,0.0586,-0.5178,-0.0426,2.437,3.7063,2.9538,1.3389,2.0739,3.1208,4.1727,1.9817,29.1122,5.5885,7.2924,25.1027,8.3483,7.0055,5.7686,8.5454,0.4552,0.6869,0.7296,0.1228,0.5283,0,1.8032,1.3243,2.7693,0.9242,0.9413,1.0833,2.9869,1.2944,1.2449,1.1498,3.2657,3.6474,3.7726,10.1573,2.0625,2.0285,2.0145,2.0413,2.0105,6.331,12.5417,4.2455,4.1947,4.1016,10.5048,2.1168,2.1058,2.0832,2.1454,2.0535,1.4004,1.4527,0.0696,0.019,0.0174,0.0082,1.1292,1.3398,1.1098,0.2987,0.0541,0.0592,0.0663,0.0532,2.7374,2.7127,0.9714,0.8023,0.939,1.6142,1.4649,1.4916,-127.69,21.1
VAMSOT,101.62,-12.05,207.21,3.06,11.51,7.34,33.9,25.8,17.8,774.4,-4.7078,-0.8635,2.24,2,-0.11,-0.09,2.6,2.28,1.98,1.32,1.24,56.09,71.22,119.86,127.79,111.58,52.7,125.8,-0.398,-0.2962,0.089,0.5841,0.1584,0.0588,-0.5189,-0.0529,2.3678,3.6955,2.9426,1.3077,2.0086,1.9474,4.2216,1.973,29.0553,5.6032,7.2777,25.1239,8.4373,8.4591,5.7967,8.5543,0.4462,0.6728,0.7305,0.181,0.4993,0,1.804,1.3537,2.7677,0.9437,0.9248,1.0823,2.9903,1.3035,1.2398,1.139,3.2843,3.6532,3.7402,10.1613,2.0586,2.0317,2.0184,2.04,2.0125,6.3109,12.5193,4.2384,4.1543,4.1265,10.5674,2.1414,2.1362,2.0841,2.129,2.0768,1.4621,1.4261,0.0713,0.0198,0.0169,0.0095,1.6324,1.4157,1.4607,0.0711,0.0116,0.0102,0.0252,0.0091,2.7382,2.7149,0.9774,0.7876,0.9499,1.6336,1.455,1.4907,-148.77,21.1
VEXKUE,89.81,8.87,230.37,2.06,6.41,7.47,39.2,28.6,15.6,579.22,-5.0406,-1.4256,2.07,2.05,-0.15,-0.13,2.62,2.08,1.98,1.31,1.25,49.8,74.48,124.86,121.09,110.76,55.72,126.82,-0.4236,-0.2885,0.0883,0.5215,0.2891,0.0474,-0.5023,-0.0157,2.8797,3.485,3.0617,1.3445,3.0974,1.9757,4.2727,1.9516,29.2249,5.4084,7.1042,25.1257,7.1434,8.4982,5.8268,8.5398,0.5572,0.6894,0.6224,0.421,0.4312,0,1.756,1.4182,2.7658,0.9859,1.0108,0.9467,2.9881,1.2822,1.2715,1.1309,3.5734,3.7929,3.353,10.1562,2.013,2.0581,2.0325,2.0249,2.0277,6.2961,12.617,4.2379,4.1845,4.1946,10.5102,2.0293,2.0849,2.1639,2.1031,2.1291,1.0949,1.1043,0.2364,0.0442,0.0467,0.0488,1.4366,1.497,1.591,0.0697,0.0169,0.0186,0.0064,0.0205,2.7351,2.7045,0.9088,0.8323,0.9635,1.5617,1.4956,1.4896,-75.37,21.1
XEDHUM,78.82,1.31,174.87,3.1,8.31,8.04,29.3,23.5,18,677.37,-4.8552,-1.1935,2.19,2,-0.06,-0.05,2.61,2.19,1.95,1.32,1.24,53.25,72.84,120.05,126.24,111.41,53.91,125.79,-0.4033,-0.2925,0.0784,0.5569,0.193,0.1178,-0.5178,-0.0462,2.589,3.6476,2.902,1.3413,2.1106,3.0995,4.1775,1.9843,29.1455,5.5688,7.3114,25.1093,8.3575,6.9486,5.7645,8.5459,0.4958,0.6772,0.6812,0.2679,0.4715,0,1.8082,1.3108,2.7671,0.9186,0.9568,1.0719,2.9891,1.2608,1.2355,1.1948,3.2472,3.6814,3.769,10.1563,2.0606,2.0304,2.0134,2.0424,2.0094,6.3154,12.5817,4.255,4.197,4.1296,10.506,2.1217,2.0935,2.0858,2.1518,2.0531,1.3506,1.4447,0.0735,0.0143,0.025,0.0081,1.1295,1.316,1.0798,0.3186,0.0265,0.0713,0.094,0.028,2.7376,2.7123,0.9686,0.8067,0.9369,1.575,1.4581,1.5408,-101.63,21.1
XIVQOI,63.8,-0.23,185.45,3.75,7.33,8.32,32.3,28.2,20.8,721.7,-4.6633,-0.804,2.16,2.01,0.02,-0.02,2.62,2.39,1.98,1.31,1.24,58.99,70.04,117.39,130.88,111.52,50.97,125.64,-0.4069,-0.298,0.0849,0.5936,0.0246,0.1523,-0.5232,-0.0544,2.2981,3.6494,2.9031,1.369,1.859,2.8871,4.1364,1.9881,29.1067,5.6336,7.291,25.0851,8.5518,7.2875,5.7492,8.5462,0.4368,0.6858,0.7543,0.2768,0.4797,0,1.7835,1.2926,2.7734,0.96,0.9374,1.0555,2.9899,1.2853,1.2526,1.1455,3.4527,3.5889,3.6212,10.1651,2.0478,2.0351,2.0305,2.0352,2.0165,6.3153,12.5517,4.2342,4.1916,4.126,10.5396,2.1211,2.1241,2.0835,2.1346,2.0762,1.4862,1.4634,0.0677,0.0111,0.0237,0.0083,1.2331,1.2812,1.1443,0.2263,0.0217,0.0422,0.0659,0.0215,2.738,2.7173,0.9655,0.7856,0.9662,1.595,1.4677,1.5184,-72.35,21.1
YICRIO,79.75,0.66,198.38,3.56,8.34,7.75,34.3,30.7,21.7,719.11,-4.4708,-0.9546,1.97,2.23,-0.05,0.01,2.63,2.3,1.96,1.31,1.24,56.28,71.6,119.77,128.35,111.52,52.12,125.82,-0.4047,-0.2962,0.0855,0.5624,0.1069,0.1555,-0.521,-0.0536,2.5216,3.6629,2.8836,1.3313,3.0015,2.0652,4.0929,1.9849,29.1884,5.5923,7.3018,25.1227,7.2074,8.3913,5.7293,8.547,0.4501,0.7034,0.701,0.5669,0.2237,0,1.7777,1.2527,2.772,0.9539,0.9623,1.035,2.9879,1.2859,1.2533,1.1439,3.5018,3.6294,3.5542,10.1659,2.0454,2.0361,2.0338,2.0338,2.0168,6.3185,12.5708,4.233,4.2111,4.1268,10.5151,2.1176,2.1193,2.0834,2.1339,2.0609,1.2705,1.2993,0.2232,0.0261,0.073,0.023,1.3701,1.4486,1.5919,0.0702,0.0143,0.0017,0.0208,0.0085,2.7379,2.7164,0.9574,0.8065,0.9525,1.5967,1.4833,1.5006,-142.64,21.1
AGEPEK,85.58,-0.84,209.68,1.81,9.13,8.08,34.9,23.9,14.8,651.44,-5.821,-2.2383,2.07,2.02,0.16,-0.19,2.53,1.95,2.07,1.28,1.3,46.42,69.42,119.38,130.01,110.44,64.17,128.36,-0.3884,-0.2323,0.1637,0.4479,0.055,0.3021,-0.3789,0.2377,3.0196,3.5144,3.0896,1.2514,1.9864,3.2569,4.2589,2.0897,29.2106,5.4371,7.1289,25.2004,8.493,6.9839,5.8348,8.2746,0.7634,0.4789,0.3419,0.4348,0.4953,0,1.3414,1.6361,2.7632,0.8769,0.9779,1.0494,2.9892,1.2875,1.1553,1.1661,3.2339,3.7928,3.7704,10.126,2.0431,2.0331,2.0085,2.0337,2.0076,6.3018,12.6351,4.2552,4.2062,4.1737,10.451,2.1438,2.1077,2.0356,2.1102,2.0536,1.5263,1.4283,0.0713,0.0159,0.0229,0.0091,1.0254,1.3013,1.1535,0.2542,0.0248,0.053,0.0802,0.0221,2.7192,2.6691,0.977,0.9004,0.7918,1.3451,1.49,1.5332,-116.96,21.2
AYOZUK,96.24,0.57,198.14,2.73,12.02,10.71,32,22.7,15.3,788.9,-4.5904,-2.01,1.95,2.03,-0.03,-0.11,2.62,2.22,2,1.32,1.24,53.89,72.52,119.88,128,111.45,53.59,126.06,-0.4091,-0.291,0.0891,0.5373,0.0506,0.1511,-0.522,-0.0588,2.588,3.7231,2.8755,1.3072,1.9735,2.0178,4.2038,1.9795,29.065,5.5979,7.2769,25.1454,8.5093,8.4246,5.7786,8.5533,0.4886,0.6261,0.671,0.5361,0.334,0,1.8228,1.3321,2.768,0.9264,0.9482,1.0696,2.9942,1.2079,1.2432,1.2295,3.2113,3.6804,3.8201,10.1596,2.0641,2.0263,2.0105,2.0465,2.0123,6.3004,12.5873,4.2322,4.178,4.1772,10.521,2.1283,2.14,2.0894,2.0956,2.0678,1.5042,1.3999,0.0736,0.02,0.0206,0.0087,1.4009,1.4292,1.5917,0.0761,0.0186,0.0048,0.0216,0.0095,2.7387,2.7168,0.9631,0.7971,0.9565,1.5289,1.466,1.5895,-164.34,21.2
BEYPOL,63.86,0.52,210.15,2.64,9.99,7.14,33.1,26.1,15,662.14,-4.7407,-1.4551,2.04,2.17,0.1,-0.18,2.61,2.3,1.98,1.31,1.24,56.58,71.36,116.97,130.97,111.55,52.06,125.17,-0.4166,-0.2985,0.0886,0.5933,0.1445,0.2192,-0.5183,-0.049,2.4508,3.6809,2.9091,1.3623,2.8327,2.9178,4.1178,1.9684,29.1589,5.6279,7.302,25.0839,7.2409,7.1689,5.742,8.5509,0.455,0.6678,0.7609,0.4199,0.2971,0,1.7497,1.314,2.7682,0.929,0.9487,1.0718,2.9893,1.2633,1.248,1.1704,3.2861,3.6261,3.7567,10.163,2.0601,2.031,2.0174,2.0434,2.0111,6.3072,12.5569,4.247,4.1805,4.1294,10.5522,2.126,2.0964,2.1033,2.1619,2.0646,1.2397,1.2904,0.2221,0.0214,0.0636,0.0269,1.1222,1.3033,1.1458,0.2228,0.0179,0.0444,0.0726,0.0213,2.7367,2.7128,0.9715,0.7815,0.9597,1.571,1.4645,1.5415,-122.34,21.2
EWOJIL,71.82,9.1,188.17,2.14,8.86,12.48,29.3,22.6,15.3,775.46,-5.6969,-2.8581,2.5,2.1,-0.59,0.11,2.53,1.98,2,1.31,1.26,47.07,69.93,92.04,156.71,111.16,62.99,121.32,-0.4113,-0.2323,0.0984,0.4545,0.2019,0.168,-0.4953,0.0251,2.8566,3.6389,2.8629,1.2763,2.8658,2.1313,4.1272,1.9348,29.0708,5.4909,7.1729,25.1845,7.1817,8.3283,5.7797,8.5026,0.6997,0.5454,0.443,0.1051,0.3552,0.2905,1.6064,1.396,2.7644,0.9156,0.9163,1.0694,2.9928,1.253,1.2436,1.1753,3.4428,3.5679,3.784,10.1277,2.0407,2.0206,2.0153,2.0346,2.0165,6.3047,12.5728,4.2463,4.1823,4.1442,10.5334,1.9988,2.1535,2.1261,2.2012,2.0537,1.1722,1.1117,0.261,0.0394,0.0738,0.0271,1.4305,1.4555,1.5287,0.0729,0.0164,0.0103,0.0209,0.0094,2.7253,2.6911,0.9563,0.7739,0.9609,1.4972,1.4729,1.559,-130.38,21.2
HANCIL,83.17,0.79,189.6,2.27,6.18,9.89,31.2,20.8,12.5,615.03,-4.7038,-1.1612,2.09,2,-0.1,0.01,2.61,2.27,1.99,1.32,1.24,55.63,71.69,120.56,126.59,111.41,52.68,126.06,-0.4235,-0.296,0.0822,0.5713,0.2398,0.0498,-0.5247,-0.0617,2.5465,3.5224,2.8987,1.3342,3.1734,2.0143,4.2781,1.9861,29.1322,5.4947,7.2483,25.1088,7.0817,8.4779,5.8158,8.5399,0.4614,0.6032,0.7124,0.4057,0.4855,0,1.8277,1.3592,2.7696,1.0198,0.9433,0.9875,2.9947,1.2934,1.2374,1.1532,3.6194,3.681,3.382,10.1638,2.028,2.0374,2.0444,2.029,2.0251,6.3004,12.6052,4.2393,4.1804,4.1856,10.5176,2.1183,2.1306,2.1095,2.1019,2.0574,1.0396,1.2282,0.2549,0.0385,0.0799,0.0192,1.4921,1.475,1.5508,0.0726,0.0107,0.008,0.0249,0.0079,2.7395,2.718,0.9771,0.7946,0.9463,1.6179,1.4615,1.5071,-140.88,21.2
HOMSOT,67.07,-0.31,207.36,2.14,9.8,7.14,37.4,29.2,18.3,752.92,-4.373,-2.5649,2.03,2,-0.04,-0.03,2.6,2.18,2.02,1.32,1.24,53.54,73.1,114.5,130.43,111.34,53.37,124.91,-0.4422,-0.3087,0.0877,0.5778,0.1511,0.134,-0.5197,-0.0305,2.7751,3.4544,2.826,1.3703,2.8958,2.8507,4.0713,2.0113,29.2688,5.4497,7.3384,25.094,7.1941,7.2017,5.7081,8.5311,0.5047,0.6014,0.6824,0.465,0.4385,0,1.8023,1.2608,2.7617,0.969,0.928,1.0594,2.9965,1.2559,1.2545,1.1701,3.3047,3.7006,3.6742,10.1702,2.0511,2.0369,2.0264,2.0394,2.0164,6.2872,12.6128,4.2469,4.1816,4.1843,10.5419,2.1519,2.1177,2.0998,2.1203,2.0523,1.2309,1.265,0.2231,0.0175,0.076,0.0214,1.274,1.2705,1.1204,0.2254,0.0216,0.0457,0.0625,0.0277,2.7363,2.7123,0.9363,0.8033,0.9727,1.5446,1.4641,1.5529,-170.01,21.2
IWOSOE02,80.26,3.02,182.68,1.7,8.46,6.35,28.4,19.5,13.1,588.27,-4.3688,-0.8276,2.26,1.96,-0.15,-0.02,2.6,2.36,1.98,1.32,1.24,58.27,69.84,120.98,127.41,111.39,51.89,126.04,-0.4097,-0.2946,0.0848,0.5546,0.1792,-0.1467,-0.5239,-0.0613,2.3435,3.7211,2.8676,1.3312,2.0961,1.8499,4.2377,1.9831,29.0267,5.6449,7.3054,25.1232,8.3591,8.5836,5.7947,8.5494,0.4507,0.6552,0.7234,0.1819,0.6086,0,1.8438,1.3183,2.7748,0.9338,0.9495,1.0662,2.9913,1.2818,1.236,1.1655,3.2073,3.7297,3.7573,10.1681,2.0544,2.0358,2.0125,2.051,2.0145,6.3353,12.5421,4.255,4.1698,4.1174,10.5319,2.1593,2.0853,2.0884,2.1236,2.0753,1.3026,1.475,0.0735,0.0112,0.0279,0.0081,1.6651,1.4395,1.5762,0.0703,0.0152,0.0067,0.0225,0.0085,2.7396,2.7189,0.9742,0.8009,0.9438,1.6,1.4629,1.5233,-133.05,21.2
JIJKUL,91.57,2.01,190.2,3.17,8.16,10.44,33.7,27.3,18.6,794.41,-4.5399,-1.804,1.96,2.05,-0.04,-0.04,2.62,2.24,2,1.32,1.24,54.45,72.21,116.85,130.67,111.47,53.35,125.89,-0.4282,-0.291,0.0883,0.5297,0.015,0.1389,-0.5215,-0.0553,2.552,3.5561,2.8611,1.2873,1.9063,2.0515,4.2253,1.9849,29.0624,5.5107,7.2882,25.1623,8.5707,8.4449,5.7837,8.5482,0.4802,0.6294,0.6492,0.5037,0.3063,0,1.8179,1.3336,2.7699,0.979,0.9471,1.0201,2.9945,1.2964,1.238,1.146,3.454,3.7373,3.5294,10.1591,2.0385,2.0434,2.0274,2.0287,2.0212,6.3031,12.5789,4.2375,4.1805,4.1608,10.5459,2.1559,2.1367,2.098,2.1,2.0553,1.5809,1.3801,0.0693,0.0126,0.023,0.0088,1.4159,1.4292,1.5956,0.0748,0.0206,0.007,0.0178,0.0096,2.7385,2.7161,0.977,0.7929,0.9461,1.6225,1.4601,1.4998,-172.29,21.2
KINRAA,93.52,-0.52,195.68,2.55,7.76,7.21,33.5,26.5,18.2,647.45,-5.4722,-1.8955,2.27,2.06,0.09,-0.11,2.54,1.98,1.98,1.32,1.24,47.34,70.62,124.48,124.15,111.17,62.04,126.48,-0.3626,-0.2487,0.0985,0.4636,0.1477,0.2055,-0.502,-0.0081,2.844,3.5054,2.9533,1.2674,2.0435,3.0722,4.2212,1.9838,29.1712,5.4214,7.233,25.193,8.4418,7.1805,5.7897,8.5283,0.7298,0.6365,0.4041,0.2345,0.4745,0,1.7684,1.3568,2.7634,0.8761,0.9684,1.0676,2.9887,1.2824,1.2189,1.1757,3.1942,3.7803,3.8096,10.1311,2.0478,2.0275,2.0077,2.0416,2.0065,6.3148,12.5963,4.27,4.186,4.1403,10.4511,2.1562,2.1164,2.0542,2.0737,2.0506,1.4295,1.4243,0.0699,0.0214,0.0151,0.0094,1.1874,1.2684,1.1173,0.2284,0.0265,0.0509,0.0685,0.0205,2.7342,2.6998,0.9683,0.8401,0.8914,1.5968,1.4765,1.4719,-117.52,21.2
LACTOZ,94.18,-1.34,188.58,4.06,10.22,9.86,37.1,33.7,25.1,804.28,-4.6247,-0.9103,2.19,1.98,-0.15,-0.06,2.62,2.22,2,1.32,1.24,54.12,73.32,120.64,128.16,111.18,52.56,126.1,-0.4174,-0.3079,0.0869,0.5774,0.1819,-0.0749,-0.5215,-0.0501,2.3945,3.6971,2.9002,1.3274,2.0201,1.7242,4.1832,1.9834,28.9837,5.5444,7.3214,25.1306,8.4091,8.6827,5.7734,8.5468,0.4366,0.5982,0.6947,0.216,0.5057,0,1.8192,1.3278,2.766,1.031,0.9283,0.9948,2.9922,1.1623,1.2589,1.2628,3.5801,3.5797,3.5126,10.1767,2.0404,2.0361,2.0506,2.0218,2.0278,6.3129,12.5482,4.1883,4.1781,4.1818,10.556,2.1173,2.1732,2.1019,2.0863,2.0772,1.3449,1.4404,0.0731,0.0176,0.0203,0.0084,1.6144,1.4142,1.6021,0.0708,0.0156,0.0061,0.0207,0.0089,2.7388,2.7163,0.9643,0.7947,0.9573,1.4951,1.4663,1.6148,-136.58,21.2
LIPYIT,86.43,0.51,184.89,1.84,4.78,10.55,29,18,10,646.03,-4.1805,-1.72,2.03,1.99,-0.04,-0.02,2.57,2.36,2.01,1.32,1.24,58.98,68.73,123.94,123.05,111.34,52.3,126.31,-0.4561,-0.2871,0.0845,0.5786,-0.0136,0.0608,-0.5285,-0.0693,2.3705,3.5959,2.8419,1.3482,1.9206,1.9232,4.2694,1.9774,29.0413,5.5771,7.2695,25.1354,8.5527,8.5346,5.8173,8.5481,0.5026,0.5883,0.6848,0.4292,0.4239,0,1.8351,1.3401,2.7719,1.0004,0.9336,1.0092,2.9975,1.301,1.2245,1.1547,3.5319,3.6915,3.4539,10.1717,2.0353,2.0424,2.0374,2.0313,2.0253,6.3041,12.5916,4.2444,4.17,4.1772,10.56,2.1398,2.1252,2.0995,2.1222,2.0734,1.55,1.3891,0.0691,0.0162,0.0202,0.0078,1.4692,1.4954,1.5321,0.0741,0.0101,0.0092,0.0255,0.008,2.7408,2.7214,0.976,0.8099,0.9354,1.6307,1.4638,1.4984,-140.68,21.2
LUWNIB,79.86,0.46,182.37,3.22,9.65,7.88,36.1,32.1,22.4,692.51,-4.5521,-1.312,1.97,2.19,-0.09,0.02,2.63,2.31,1.99,1.31,1.24,56.46,71.59,122.37,125.28,111.81,51.95,125.86,-0.4177,-0.2975,0.092,0.5479,-0.0642,0.1832,-0.5292,-0.0694,2.4413,3.6678,2.8444,1.3214,1.8329,2.0748,4.125,1.9787,29.0792,5.58,7.3184,25.1226,8.6763,8.3503,5.7523,8.5575,0.4585,0.6662,0.6942,0.5867,0.2304,0,1.8151,1.249,2.7714,1.0109,0.9351,1.0068,2.9891,1.2871,1.2563,1.1351,3.6312,3.6162,3.4486,10.1722,2.0338,2.0356,2.0529,2.0265,2.0235,6.3312,12.5508,4.2086,4.1854,4.1568,10.5354,2.1243,2.1572,2.1071,2.0881,2.0588,1.6351,1.4614,0.067,0.0106,0.0219,0.0085,1.3256,1.4662,1.5944,0.0744,0.0134,0.0022,0.0262,0.0081,2.7405,2.7224,0.9555,0.8104,0.9565,1.6264,1.4853,1.4815,-174.12,21.2
QIQCEY,88.8,2.41,183.44,3.66,6.73,9.78,31,25.2,18.4,679.72,-4.3283,-0.7515,2.2,1.95,-0.06,-0.05,2.62,2.39,1.96,1.31,1.24,58.9,69.98,123.49,124.9,111.59,51.12,126.44,-0.4147,-0.301,0.0853,0.5503,0.0949,-0.0776,-0.5228,-0.0602,2.3762,3.7417,2.975,1.333,1.9941,1.8371,4.2055,1.9707,29.0636,5.6597,7.2477,25.1284,8.4693,8.6141,5.7884,8.5526,0.4236,0.6959,0.7497,0.2139,0.5936,0,1.8124,1.3469,2.7762,0.9218,0.9522,1.0796,2.9868,1.2722,1.2622,1.1498,3.4139,3.5151,3.7632,10.1768,2.0645,2.0297,2.0204,2.0454,2.0168,6.3323,12.5526,4.2281,4.1921,4.1323,10.5295,2.1042,2.096,2.0942,2.1603,2.0748,1.4548,1.4419,0.071,0.0191,0.0183,0.0088,1.5965,1.4513,1.5813,0.0705,0.0166,0.0106,0.0178,0.0104,2.7392,2.7182,0.9318,0.8455,0.941,1.5739,1.5157,1.4952,-102.5,21.2
TAYFUV,79.89,1.57,172.14,2.95,10.26,12.3,28.9,21.7,16.1,836.46,-4.4189,-1.2156,2.31,1.96,-0.11,-0.05,2.61,2.36,1.96,1.31,1.24,58.1,70.01,119.86,128.44,111.51,51.89,125.9,-0.4,-0.296,0.0828,0.5649,0.1833,-0.1444,-0.5216,-0.0559,2.3829,3.8281,2.9553,1.3501,2.0592,1.8451,4.1675,1.9761,29.0328,5.7116,7.2737,25.1259,8.3836,8.5892,5.7681,8.5491,0.4367,0.6766,0.7584,0.1685,0.6354,0,1.8003,1.324,2.7751,0.9304,0.9524,1.0655,2.9879,1.2839,1.2713,1.1316,3.5684,3.4541,3.6557,10.1745,2.0477,2.0276,2.0357,2.0438,2.0196,6.3351,12.5414,4.2134,4.2083,4.1197,10.5232,2.0995,2.1096,2.0992,2.1451,2.0699,1.3326,1.4604,0.0727,0.0136,0.0257,0.0081,1.5953,1.4921,1.5894,0.0699,0.0164,0.0109,0.0161,0.0118,2.7381,2.7166,0.9138,0.8424,0.9603,1.5736,1.5168,1.4918,-138.38,21.2
TIGMOO,86.95,0.59,188.71,2.38,19.03,8.56,29.2,18.8,12.7,970.6,-3.8904,-2.3511,1.98,1.94,-0.05,-0.02,2.58,2.28,2.03,1.32,1.24,56.27,70.38,123.77,123.39,111.31,53.35,126.36,-0.4505,-0.2897,0.0879,0.5194,0.0607,-0.0109,-0.5314,-0.0726,2.5866,3.5782,2.8335,1.314,1.9783,1.9324,4.2784,1.9739,29.0793,5.5393,7.2566,25.1799,8.4854,8.5332,5.822,8.5498,0.5141,0.5621,0.6317,0.4501,0.5459,0,1.8317,1.3541,2.77,0.9751,0.9214,1.0464,3.001,1.2799,1.2265,1.1696,3.362,3.7418,3.6193,10.175,2.0366,2.0458,2.0272,2.04,2.0254,6.3026,12.6199,4.2434,4.1862,4.1903,10.5276,2.1227,2.1005,2.0884,2.1264,2.0896,1.4641,1.4165,0.0741,0.0183,0.0184,0.0096,1.542,1.5141,1.5134,0.0718,0.0101,0.0116,0.0214,0.0089,2.7411,2.7235,0.9294,0.8403,0.9538,1.5842,1.4795,1.5325,-204.38,21.2
