Ligand,Bite Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Ea
XEPXEW,86.44,32.4,-2.9236,-2.4944,2,0.4127,-0.2482,-0.8367,1.9787,2.9082,28.7844,7.2926,0.6395,3.1651,6.3747,9.7557,1.917,40.7
HOWZAW,95.81,42.9,-3.7125,-2.2864,2.02,0.4936,-0.2261,-0.6242,2.2661,2.9366,28.8487,7.1878,0.5607,3.1738,6.2371,9.8098,1.9679,24
YOXBUI,63.02,26.8,-3.1491,-1.8706,2.09,0.3953,-0.2581,-0.5544,1.7113,2.9233,28.8646,7.3235,0.673,3.1606,6.4303,9.8135,1.9106,38
NATHQU,88.54,36.4,-3.3182,-2.1193,1.98,0.0705,-0.2677,-0.0244,2.0061,2.94,28.8715,7.2929,0.6427,3.1691,6.4812,9.8471,1.971,37.6
XIKZUP,91.17,40,-3.6115,-3.5502,1.99,0.4662,-0.2287,-0.4691,2.1419,2.9003,28.8525,7.1887,0.4498,3.1815,6.236,9.8508,1.9772,26.2
KIXBID,82.11,45.2,-3.3636,-0.4947,2.02,0.3179,-0.2411,-0.6245,1.8055,3.0226,28.7799,7.2678,0.654,3.1671,6.3919,9.8327,1.9131,47.6
IJUTEO,84.63,32.9,-2.9645,-1.4899,1.98,0.3242,-0.2579,-0.6133,1.8519,2.9208,28.758,7.3206,0.6466,3.1673,6.3902,9.8144,1.9522,41.2
QADNAN,98.74,38.9,-2.623,-1.3132,2.03,0.3004,-0.2482,-0.8918,1.9065,2.9334,28.8373,7.2752,0.6016,3.1676,6.3817,9.8286,1.9782,32.4
FOYMAH,82.27,28.2,-3.2769,-2.3545,1.99,0.4307,-0.253,-0.5559,1.8029,2.9216,28.7149,7.3224,0.6679,3.1648,6.3684,9.7915,1.9209,36.9
BACJEX,101.24,31.5,-3.4003,-3.317,1.98,0.474,-0.2414,-0.6341,1.9794,2.9201,28.6819,7.2904,0.6423,3.169,6.3218,9.7601,1.9637,37.4
GIYJEE,86.45,37.5,-2.9926,-2.2009,1.96,0.3728,-0.2518,-0.1825,1.8637,2.9861,28.7723,7.2655,0.7196,3.1647,6.3882,9.8046,1.927,25.3
RAVMAC,84.7,46.3,-3.346,-1.1945,2,0.3366,-0.3023,-0.6071,1.7488,2.7855,28.7364,7.4892,0.5751,3.1929,6.3589,9.8454,1.9414,45.6
QARSIO,83.9,33.1,-3.8141,-2.5727,1.98,0.4146,-0.2161,0.0012,2.3496,2.9558,28.8267,7.2233,0.5327,3.1696,6.2716,9.8025,1.9821,22.5
GIZYIY01,83.07,29.5,-3.418,-2.6414,1.98,0.3222,-0.2577,-0.3591,2.0043,2.9142,28.8299,7.2917,0.6537,3.1694,6.4222,9.7738,1.9661,38.2
HUVXEC,87.03,31.5,-3.273,-1.7979,1.98,0.4037,-0.2459,-0.6226,1.7125,3.0058,28.7809,7.277,0.6564,3.1647,6.3765,9.8131,1.9831,35.1
TMZBCO10,98.73,30.7,-3.6735,-2.9547,2.01,0.4678,-0.2455,-0.5545,1.8759,2.9378,28.6993,7.3017,0.6698,3.1665,6.3241,9.7911,1.9236,38.1
CEBNEC,87.06,35,-3.4429,-2.1108,2.01,0.4607,-0.2462,-0.5503,1.9282,2.9758,28.7862,7.2852,0.6761,3.1662,6.349,9.7815,1.9682,53.8
FUYNET,96.36,36.7,-3.302,-2.1773,1.97,0.3568,-0.2541,-0.7289,2.0251,2.9255,28.7437,7.2746,0.6284,3.168,6.3654,9.7844,1.9526,39.4
JOCXAC,81.94,41.2,-3.9136,-3.0301,1.96,0.4124,-0.2429,-0.1361,2.1023,2.9273,28.8575,7.2645,0.5884,3.176,6.292,9.8423,1.9495,40.9
BEWFOZ,62.46,24.4,-3.1866,-1.9516,2.06,0.3827,-0.2587,-0.5615,1.6387,2.9213,28.841,7.3263,0.6807,3.1603,6.4426,9.8165,1.9041,39.5
AWEXOQ,62.88,24,-3.1377,-2.0096,2.07,0.3838,-0.2581,-0.5836,1.6697,2.9174,28.839,7.3259,0.676,3.1604,6.4388,9.8154,1.9052,59.7
GEXMAA,80.65,28.8,-4.118,-3.5542,1.98,0.5146,-0.2432,-0.5857,2.0132,2.9726,28.6494,7.3115,0.7225,3.1658,6.3422,9.7249,1.9424,34.5
HEBGEA,81.95,32.9,-4.2723,-3.0419,2.02,0.5961,-0.2018,-0.4636,2.429,2.9615,28.8299,7.2131,0.5313,3.171,6.2544,9.7442,1.9461,30.1
HODYOP,62.5,24.1,-3.1115,-1.7207,2.07,0.377,-0.2585,-0.5683,1.6514,2.9211,28.856,7.328,0.6766,3.1607,6.4448,9.8174,1.9372,39.1
LEKZUX,82.41,51.5,-4.3288,-3.5908,2.08,0.3363,-0.257,-0.1141,2.0931,3.0371,28.7442,7.2776,0.7534,3.1676,6.402,9.7729,1.9499,34.8
IZUVAC,88.13,33.7,-3.1588,-1.757,1.99,0.4247,-0.2476,-0.6907,1.8385,2.9288,28.7976,7.299,0.6571,3.1659,6.363,9.7914,1.9614,40.1
SUHNIS,90.06,36.1,-3.5834,-2.0603,1.99,0.457,-0.2257,-0.4644,2.1082,2.9232,28.8501,7.2052,0.5263,3.1764,6.2466,9.8467,1.9605,25.7
AKEGAA,93.52,32,-3.0654,-1.7392,1.95,0.4261,-0.2465,-0.6877,1.9038,2.9073,28.7099,7.288,0.6178,3.1679,6.3452,9.7807,1.9658,39.2
AWIHOE10,62.31,23.9,-3.1431,-0.5585,2.07,0.3766,-0.2591,-0.5723,1.6478,2.9208,28.8528,7.325,0.6774,3.161,6.447,9.8177,1.9206,39.1
FIRKEZ,90.94,31.7,-3.8464,-2.8575,2.06,0.578,-0.2015,-0.5679,2.3497,2.9265,28.8031,7.2196,0.4954,3.174,6.2639,9.7543,1.9781,26.8
IFUCUH,84.91,31.3,-2.8944,-2.201,1.99,0.399,-0.2493,-0.8742,1.9036,2.9042,28.7671,7.2824,0.6244,3.1664,6.3818,9.7688,1.9122,42.3
UPAMII,97.56,36.3,-4.2082,-3.0975,2.04,0.3643,-0.2355,-0.4999,1.8487,3.0171,28.7262,7.2744,0.6637,3.1631,6.3563,9.8233,1.9755,48.5
AZAKAO,62.9,24,-3.1781,-1.8171,2.06,0.3875,-0.2581,-0.5801,1.6674,2.9202,28.8305,7.3266,0.6793,3.1602,6.4364,9.815,1.9083,38.4
ROPQUL,82.04,40.6,-3.2241,-2.4012,2,0.2428,-0.26,-0.1915,1.879,2.9207,28.783,7.2864,0.631,3.1693,6.4201,9.8327,1.9343,37.7
WUCBEE,82.95,28.4,-3.8319,-3.2835,2.01,0.4325,-0.2543,-0.6423,1.8203,2.9568,28.7402,7.3111,0.7062,3.1642,6.3721,9.7813,1.9274,36.1
DECHAX,81.44,35.7,-4.3767,-3.5337,1.98,0.4137,-0.2507,-0.0905,1.9545,2.984,28.7178,7.278,0.718,3.1688,6.3729,9.7735,1.944,38.2
IRUREU,83.57,37.4,-4.1935,-3.1027,2.13,0.478,-0.2,-0.5143,2.3346,3.0035,28.7423,7.2006,0.5143,3.1712,6.2616,9.7755,1.9813,22.5
TEGCEQ,81.08,35.3,-3.8636,-2.6766,2.03,0.2536,-0.2692,-0.1162,1.8481,2.9674,28.7632,7.3148,0.6877,3.1692,6.4281,9.8224,1.9413,34.6
CEWXUY,81.03,35.3,-3.8412,-2.6743,2.02,0.2518,-0.2692,-0.1168,1.847,2.967,28.7662,7.3128,0.6862,3.1694,6.4288,9.8231,1.9365,35
GOJHIW,91.76,42.3,-3.0494,-0.9276,1.99,0.4035,-0.2397,-0.612,1.8363,2.9504,28.8075,7.2561,0.6544,3.1669,6.3465,9.8285,1.9809,43.8
TETROL06,62.86,24,-3.2947,-1.1505,2.07,0.3926,-0.2592,-0.5479,1.6708,2.9249,28.8433,7.3306,0.6868,3.1601,6.4359,9.8157,1.925,37.9
OHULOV,95.88,30.7,-2.8476,-1.9414,1.95,0.4091,-0.2453,-0.6746,1.8007,2.8902,28.6925,7.2885,0.598,3.1688,6.3399,9.8019,1.9303,38
LEYZIZ,90.58,38.9,-4.3287,-3.6399,1.95,0.4025,-0.2363,-0.1597,1.9195,3.0133,28.7186,7.2862,0.6712,3.1671,6.3574,9.7935,1.9497,61.3
VURDES,81.79,28.1,-3.2988,-1.7205,1.97,0.3995,-0.2528,-0.4658,1.6437,2.9434,28.735,7.3083,0.6802,3.1628,6.3916,9.8112,1.9354,35.2
ROFTOW,81.55,35.1,-3.86,-2.6753,2.03,0.2514,-0.2692,-0.1166,1.8458,2.965,28.7634,7.3168,0.6859,3.1694,6.428,9.8245,1.9552,34.4
MOTTAT,84.18,38.6,-3.5369,-1.992,1.99,0.3578,-0.2112,-0.6008,1.8342,3.0314,28.7375,7.2928,0.655,3.1615,6.3627,9.819,1.9435,45.6
NACNAI,94.28,36,-3.5258,-2.8987,1.97,0.4786,-0.2446,-0.6777,2.009,2.9309,28.7157,7.294,0.6562,3.1682,6.3354,9.7557,1.9285,42.8
YOXHOL,89.49,30.9,-3.1661,-2.0678,1.98,0.4343,-0.2481,-0.6038,1.8417,2.9234,28.7105,7.282,0.6257,3.1679,6.3463,9.7902,1.9338,39.4
NUNFAD,62.94,26.1,-3.1957,-1.9376,2.07,0.3904,-0.2584,-0.5743,1.6864,2.9224,28.8514,7.3287,0.6797,3.1598,6.4346,9.8148,1.924,36.5
GUMSUF,62.83,26.6,-3.1115,-1.1138,2.07,0.3839,-0.2579,-0.5663,1.6694,2.9216,28.8634,7.3265,0.6776,3.1599,6.4375,9.8166,1.9075,37.1
CAGDOF,97.24,41.4,-2.9817,-1.4799,1.91,0.4315,-0.241,-0.6057,1.9058,2.9306,28.731,7.2791,0.6262,3.1667,6.3109,9.7989,1.9279,33
OVIBEC,95.12,38,-3.4628,-2.4509,1.96,0.4716,-0.2403,-0.8543,2.134,2.9218,28.7462,7.2732,0.6288,3.1681,6.3535,9.7237,1.9678,41.1
EVIGEW,62.86,24,-3.1542,-1.6376,2.06,0.3841,-0.258,-0.584,1.6622,2.918,28.8344,7.3247,0.677,3.1604,6.4385,9.8158,1.9073,38.9
JOFFEQ,81.22,35.2,-3.8721,-2.6772,2.03,0.2531,-0.2687,-0.1146,1.8442,2.9653,28.763,7.3119,0.6862,3.1692,6.4284,9.823,1.9372,34.6
TOVWAF,95.41,30.4,-2.7588,-2.1517,1.96,0.4068,-0.2468,-0.623,1.8064,2.8917,28.6924,7.2908,0.5992,3.17,6.3415,9.7971,1.9274,39
NINLEB,79.64,39.9,-3.743,-3.0062,2.06,0.3929,-0.2513,-0.676,1.8767,2.9734,28.7282,7.2721,0.6726,3.1636,6.3734,9.8056,1.9347,32.1
QUGTAO,80.08,41.4,-3.7407,-2.6204,2.04,0.256,-0.2703,-0.1309,1.9306,2.9209,28.7788,7.3365,0.6641,3.1708,6.4246,9.8239,1.9474,34.7
NASWAI,84.81,41.5,-2.7788,-1.5086,2,0.3214,-0.2566,-1.0188,1.9553,2.9073,28.8178,7.322,0.6333,3.1654,6.3842,9.8085,1.9374,32.9
ROFYAN,79.8,36.8,-3.5177,-2.6064,2.09,0.3558,-0.2511,-0.6342,1.8392,2.9924,28.8041,7.2563,0.713,3.1674,6.3965,9.8212,1.9337,29.9
RUZSIQ,84.23,36.1,-3.1231,-1.8481,1.99,0.3082,-0.2549,-0.7496,1.8292,2.9289,28.821,7.2913,0.6465,3.1654,6.4005,9.8181,1.9255,38.5
MELVUV,81.03,36.9,-3.6389,-2.9946,2.1,0.3528,-0.2553,-0.6046,1.836,2.9176,28.796,7.3203,0.6806,3.1681,6.3874,9.8299,1.9369,37.4
ROKNAJ,94.93,45.4,-3.0048,-1.9128,1.99,0.3412,-0.2475,-0.1998,1.9662,2.9317,28.7664,7.2776,0.6337,3.1662,6.3641,9.809,1.9543,37
AKAWEO,86.9,38,-3.3841,-1.6734,2.03,0.2273,-0.2566,-0.1736,1.9567,2.9811,28.846,7.2882,0.6604,3.1628,6.3948,9.8559,1.9675,31.4
LALJIV,79.18,28.8,-3.8171,-1.8106,2.02,0.3437,-0.2486,-0.3302,1.5208,2.9768,28.7243,7.2863,0.6741,3.1624,6.4127,9.845,1.9071,34.9
THCHAC,62.47,24.1,-3.1156,0.256,2.06,0.3765,-0.2586,-0.5731,1.649,2.921,28.852,7.3244,0.6751,3.1605,6.4462,9.8167,1.9078,39.7
XETKIR,62.37,24.9,-3.2896,-0.9483,2.06,0.3916,-0.2581,-0.5755,1.642,2.9265,28.838,7.328,0.6866,3.1598,6.437,9.8186,1.9228,37.5
VUHMAM,78.39,33.2,-4.0089,-1.7595,2.08,0.3355,-0.2614,-0.5919,1.7043,2.9568,28.7791,7.2977,0.6965,3.1672,6.421,9.8312,1.9523,36.5
VUWQOV,66.16,36.8,-2.5373,-1.5506,1.99,0.1766,-0.2588,-0.2414,1.8646,2.9117,28.8816,7.2812,0.6356,3.1636,6.4595,9.839,1.9266,41.3
NEZNOV,104.67,44.5,-3.3625,-0.6475,1.97,0.4198,-0.218,-0.6622,1.6563,3.0635,28.709,7.2665,0.6555,3.1598,6.3502,9.8185,1.9802,39.4
BIZZOB,63.08,35.6,-3.2895,-1.2082,2.09,0.4,-0.2552,-0.5703,1.8514,2.9612,28.9253,7.299,0.7089,3.1581,6.4001,9.8138,1.942,42.8
MCPRPL,62.63,25.2,-3.1372,-0.0284,2.06,0.3819,-0.2583,-0.5532,1.6517,2.9195,28.8565,7.3241,0.6793,3.1605,6.4415,9.818,1.9126,44.3
RUQBEM,80.96,35.1,-3.9868,-3.6115,2.02,0.2624,-0.2693,-0.1143,1.8507,2.9741,28.7487,7.319,0.6947,3.1694,6.4261,9.8199,1.9451,34.2
ZUDKIV,84.71,31.2,-2.9208,-2.1928,1.98,0.3983,-0.2495,-0.8592,1.8438,2.906,28.7374,7.2859,0.6194,3.1658,6.3756,9.7802,1.9184,49
QUMBUV,67.69,32.8,-2.2791,-0.6551,1.98,0.1033,-0.2616,-0.3424,1.9824,2.9005,28.9653,7.2965,0.6154,3.1632,6.4788,9.8388,1.9425,50.4
FENPUJ,63.1,24.4,-3.3241,-2.5047,2.06,0.4047,-0.2587,-0.5549,1.7062,2.9296,28.8427,7.3301,0.6909,3.1607,6.4262,9.8091,1.9124,43.9
XIJLOR,62.68,27.6,-3.1377,-0.0039,2.09,0.3881,-0.2577,-0.5983,1.682,2.9255,28.8706,7.3295,0.6823,3.1598,6.4341,9.8157,1.9084,37.2
DEKYIC01,90.03,30.3,-3.3822,-2.5341,1.96,0.453,-0.2502,-0.6374,1.883,2.9148,28.6998,7.3061,0.6593,3.168,6.3465,9.7772,1.941,36.9
OGADIM,95.12,45.1,-3.2923,-2.5089,2.02,0.4379,-0.2439,-0.8362,2.0883,2.9201,28.8433,7.2607,0.647,3.1665,6.3658,9.753,1.9688,42
GIKSOJ,88.85,33.8,-3.3338,-2.5088,1.99,0.3531,-0.2562,-0.7087,1.9053,2.9373,28.7773,7.3067,0.6613,3.1682,6.3786,9.8091,1.9759,36.4
ZEZLEV,106.13,35.6,-3.9367,-1.7154,1.99,0.4666,-0.2253,-0.4831,1.8344,3.0068,28.7792,7.2095,0.658,3.1653,6.2936,9.8341,1.9701,32.1
NOKHEA,77.72,40.1,-3.953,-3.0018,1.99,0.4221,-0.2387,0.0019,1.9022,3.0017,28.7274,7.2327,0.7099,3.1581,6.3541,9.8011,1.9685,29.9
WODJIL,79.21,31.2,-3.9003,-2.6421,2.06,0.3423,-0.2666,-0.6129,1.7656,2.9406,28.7662,7.3118,0.6871,3.1688,6.4117,9.8182,1.9234,36
WAGVOR,81.34,35.2,-3.8502,-2.6415,2.03,0.2512,-0.2689,-0.1152,1.8451,2.9636,28.7656,7.3116,0.6848,3.1693,6.4287,9.8236,1.9392,34.5
KUNLEN,84.7,32.9,-3.0491,-2.4581,2,0.4237,-0.2487,-0.6917,1.923,2.9154,28.8048,7.2911,0.6341,3.1654,6.3721,9.7768,1.9405,39.9
MUJKEH01,80.24,37.1,-4.1213,-3.415,2.09,0.387,-0.2501,-0.595,1.8995,2.982,28.7537,7.2891,0.7022,3.168,6.3788,9.8032,1.9309,34
VAVXOG,84.61,37.8,-4.0435,-2.8971,1.96,0.4218,-0.2044,-0.0207,2.4107,3.0033,28.8186,7.1515,0.5343,3.1648,6.2487,9.8053,1.9588,19.9
VIQWOI,86.21,35.8,-4.2956,-3.5768,2.12,0.4996,-0.1964,-0.5331,2.6803,3.0236,28.8889,7.1769,0.5466,3.1659,6.2447,9.7352,1.9855,18.6
IXUZIL,62.35,24.6,-3.1217,-0.5985,2.07,0.376,-0.2591,-0.5732,1.6554,2.9196,28.8589,7.3263,0.6739,3.1609,6.4469,9.8173,1.9381,41
ZASJIO,81.34,35.2,-3.8552,-2.6528,2.02,0.2516,-0.2689,-0.1151,1.8463,2.9666,28.7652,7.3152,0.6854,3.1692,6.4285,9.8233,1.9319,34.7
YUFRUM,92.1,31.3,-2.7953,-1.3778,1.96,0.3848,-0.2466,-0.627,1.728,2.931,28.7719,7.2921,0.6473,3.1662,6.3731,9.8133,1.954,37.4
TEBCIP,93.18,46.2,-2.969,-1.8128,1.97,0.4525,-0.24,-0.8751,2.086,2.9996,28.8252,7.2492,0.649,3.166,6.3504,9.7495,1.9397,37.4
LERBEP,82.85,32.6,-4.184,-3.0698,2.05,0.4542,-0.2121,-0.627,2.4407,2.9811,28.776,7.1962,0.5288,3.1678,6.266,9.7663,1.9447,25.3
QIWLEQ,80.33,37.1,-3.7945,-3.0027,2.08,0.3671,-0.2521,-0.6267,1.8563,2.9645,28.7592,7.291,0.6845,3.166,6.3845,9.8176,1.931,34.2
TARNOQ,82.05,30.8,-4.5699,-4.1656,2.02,0.5371,-0.225,-0.5563,2.1137,3.0633,28.6504,7.2646,0.7366,3.166,6.3285,9.7017,1.868,32
HODXAA,80.02,36.8,-3.7584,-2.7736,2.09,0.3583,-0.2552,-0.6327,1.825,2.9306,28.7766,7.3093,0.6791,3.1674,6.39,9.8244,1.9306,36.2
ABIVAL,84.06,32,-3.9646,-3.0245,2,0.5931,-0.2029,-0.5471,2.3943,2.9355,28.8183,7.2237,0.5127,3.1726,6.2648,9.738,1.9397,30.1
ZOJREY,78.84,39.8,-3.8952,-2.6874,2.1,0.364,-0.2505,-0.6391,1.7958,2.9041,28.8079,7.2932,0.712,3.1674,6.3904,9.8295,1.9306,38.1
WAHGUI,85.08,33.2,-3.7849,-2.899,1.99,0.3949,-0.2531,-0.5822,2.0245,2.9961,28.7313,7.2752,0.6815,3.1645,6.3712,9.7731,1.9749,34.6
QEKJIC,83.36,38.3,-3.3053,-1.9788,1.98,0.3676,-0.2292,-0.075,1.9164,3.0029,28.7617,7.2407,0.6793,3.1599,6.3816,9.795,1.9749,33.9
EWIQUY,93.45,30.8,-2.8247,-1.8122,1.94,0.4078,-0.2473,-0.681,1.832,2.8944,28.697,7.2831,0.6026,3.1695,6.3453,9.7934,1.9381,38.3
IKEDOS,93.63,31,-2.897,-1.8576,1.94,0.4201,-0.2463,-0.681,1.8615,2.8993,28.6939,7.2862,0.6064,3.1687,6.3429,9.7879,1.9388,38.2
HOYSEV,83.31,37.7,-4.491,-3.9262,2.11,0.4419,-0.2124,0.1809,2.491,2.968,28.91,7.2032,0.5425,3.1739,6.3103,9.7898,1.9641,27.6
ICUNUR,99.48,45.7,-3.2145,-1.5173,2.03,0.4487,-0.2409,-0.7928,2.1033,2.9298,28.8239,7.2813,0.6717,3.1653,6.3323,9.7776,1.9751,46.4
YIXQON,62.62,24.1,-3.0877,0.2268,2.06,0.3778,-0.2581,-0.575,1.6468,2.9208,28.8461,7.3254,0.6768,3.1604,6.4443,9.8155,1.9113,39
FAKWEV,83.52,37.6,-3.0964,0.0839,2.02,0.2809,-0.2461,-0.6017,1.7461,2.961,28.8056,7.2785,0.6364,3.1646,6.4137,9.8303,1.9615,46.2
PULBUU,64.28,24.5,-3.4239,-3.4592,2.04,0.4393,-0.256,-0.5581,1.8854,2.944,28.7938,7.3344,0.7011,3.1609,6.4056,9.7737,1.937,34.9
AGAMUS,83.1,39.2,-4.4135,-3.7837,2.07,0.4719,-0.2364,-0.5865,2.077,3.0014,28.6829,7.2582,0.7142,3.1608,6.3401,9.7605,1.951,34.3
VIXNEY,81.73,35,-3.9062,-2.7714,2.02,0.2539,-0.2688,-0.1152,1.8478,2.9634,28.7602,7.3143,0.6871,3.1691,6.427,9.8232,1.9364,34.8
HIBKUA,62.52,24.8,-3.1039,-0.7445,2.06,0.3783,-0.2582,-0.5622,1.6436,2.9228,28.8508,7.3216,0.6754,3.1605,6.444,9.8162,1.9215,40.6
GINZIN,80.26,37.9,-3.8796,-2.3495,2.03,0.2489,-0.2637,-0.1204,1.8331,2.9442,28.7637,7.3077,0.6696,3.1692,6.4231,9.8374,1.9413,35.7
FIHSAT,64.48,24.5,-3.4427,-3.4369,2.04,0.4506,-0.2534,-0.5797,1.9398,2.9489,28.7907,7.3344,0.7038,3.1622,6.4032,9.7614,1.9151,37.5
DOMTEG,84.29,28.4,-4.6928,-4.3479,2.05,0.5577,-0.2181,-0.5067,2.0931,3.0224,28.66,7.3016,0.7623,3.1714,6.3273,9.7048,1.9522,33.6
XOXZES,87.88,48.5,-3.5833,-2.1658,2.05,0.5653,-0.1968,-0.5479,2.4633,2.924,28.9624,7.1418,0.4782,3.1747,6.2304,9.7784,1.9717,20.6
XIDRAD,82.1,30,-4.2637,-3.6817,2,0.5373,-0.236,-0.5615,2.064,2.9851,28.6281,7.3042,0.7186,3.1651,6.3301,9.715,1.946,33.3
IGODIU,80.49,34.3,-4.265,-3.1807,2.02,0.2707,-0.2683,-0.1191,1.9125,2.9753,28.7368,7.3234,0.7003,3.1693,6.4199,9.8114,1.9332,33.4
HOLGEV,86.17,32.5,-3.1913,-2.6546,1.99,0.5276,-0.2355,-0.6497,2.1427,2.9881,28.7477,7.2601,0.7215,3.1664,6.3423,9.7103,1.9651,23.1
IGAMUB,85.28,28.6,-2.2431,-1.0569,1.99,0.3436,-0.2446,-0.7627,1.8019,2.8766,28.7999,7.2909,0.6082,3.1623,6.3938,9.7956,1.9301,45.6
WOBQAG,97.8,35.7,-4.1838,-3.0072,1.99,0.4305,-0.2434,-0.0486,1.9715,3.0021,28.7204,7.2313,0.6679,3.1642,6.3355,9.7959,1.9904,29
BODFOR,82.58,42.5,-3.9297,-3.4406,2.05,0.3395,-0.2532,-0.1101,2.0578,2.9754,28.7257,7.2926,0.6979,3.1677,6.4012,9.777,1.9522,31.4
YAFWAF,79.8,37.1,-3.8839,-2.6398,2.08,0.3611,-0.2544,-0.5843,1.7997,2.9576,28.769,7.3013,0.6904,3.1676,6.3944,9.8249,1.9498,37.5
REGMAT,85.62,31.6,-4.2359,-3.8681,2.04,0.3906,-0.2487,-0.5786,1.9727,2.9901,28.7625,7.3214,0.7261,3.1675,6.3697,9.7872,1.9333,33.9
GUKVUF,99.68,37.7,-3.9744,-3.2008,1.95,0.3856,-0.2446,-0.0508,2.0378,2.9819,28.7361,7.2657,0.6594,3.1646,6.3286,9.796,1.9503,33.1
BUNFUO,79.68,38.2,-3.9267,-2.7219,2.01,0.4017,-0.2539,-0.0807,1.8089,2.948,28.7372,7.3035,0.7143,3.163,6.391,9.8056,1.984,46.3
FOZJIQ,90.18,30.4,-3.1715,-2.4923,1.96,0.4342,-0.2492,-0.5082,1.7831,2.9171,28.6831,7.2919,0.629,3.1684,6.3504,9.7944,1.9297,43.8
GEQWOR,85.93,29.5,-3.7923,-2.0613,2.05,0.4552,-0.2104,-0.5452,1.7288,3.0857,28.8337,7.1355,0.6592,3.1606,6.2847,9.8662,1.9845,22.5
YOWJOK,87.67,32.7,-3.9114,-3.2551,1.99,0.4831,-0.224,-0.4917,1.8993,3.0409,28.7583,7.2052,0.6954,3.1621,6.3074,9.7991,1.9753,27.9
JIBNIU,90.35,39.6,-3.5783,-2.2435,1.99,0.4842,-0.2282,-0.4321,2.1838,2.9072,28.8808,7.2021,0.4864,3.1816,6.2353,9.844,1.9668,25.5
MORXUP,82.06,33.8,-4.5523,-3.4429,2.06,0.3691,-0.22,-0.0636,2.6308,3.0049,28.9065,7.2301,0.603,3.1654,6.3143,9.7503,1.9918,26.5
YAPDEA,80.24,39.9,-3.8298,-2.5984,2.02,0.2821,-0.2661,-0.1208,1.898,2.9353,28.7471,7.3044,0.6698,3.1699,6.4144,9.8195,1.9406,36.2
QUQYIM,92,33.8,-2.9833,-2.0496,1.95,0.4315,-0.2474,-0.6739,1.8647,2.9199,28.7132,7.2872,0.6116,3.1687,6.344,9.7867,1.9498,39.1
CAMPLO10,81.77,28.6,-4.3992,-3.8082,2.01,0.5369,-0.2357,-0.5022,2.0362,2.9844,28.6449,7.311,0.7368,3.167,6.3339,9.7209,1.9458,32.9
SATCOG,80.42,28.8,-3.9837,-1.3498,2.01,0.3597,-0.2452,-0.3113,1.5122,2.988,28.7347,7.2805,0.6794,3.1623,6.409,9.8487,1.9175,35
SUCMUY,62.74,26.3,-3.1191,-0.667,2.07,0.3846,-0.2585,-0.5965,1.6636,2.9208,28.8557,7.3287,0.6784,3.1597,6.4397,9.8133,1.9085,36.4
PADFOS,87.87,35,-3.5753,-1.7339,1.99,0.2126,-0.2659,-0.1554,1.7553,2.9526,28.7707,7.2832,0.6459,3.1727,6.4366,9.8451,1.9706,58.9
PEPDOF,62.43,25.1,-3.1296,0.2142,2.06,0.3791,-0.2585,-0.5819,1.6421,2.9195,28.8406,7.3227,0.6754,3.1605,6.4453,9.8156,1.9046,42.6
YAXDUY,62.43,24.8,-3.1762,-1.7524,2.07,0.3827,-0.2587,-0.5655,1.6475,2.9222,28.8514,7.3286,0.6824,3.1604,6.442,9.8173,1.9177,38.6
ESABIJ,63.12,24.4,-3.2942,-1.6929,2.06,0.3946,-0.2577,-0.7198,1.6925,2.9274,28.8452,7.3266,0.6874,3.1595,6.4296,9.8153,1.9229,37.9
MISVES,85.45,31.5,-2.8774,-2.1851,2,0.3955,-0.249,-0.7597,1.9462,2.9026,28.8205,7.2902,0.6284,3.166,6.3819,9.774,1.9297,40.1
FOYVAT,80.63,32.8,-3.2595,-2.2187,2.02,0.4218,-0.2437,-0.6692,1.9364,3.021,28.9463,7.2404,0.6892,3.1645,6.3688,9.7818,1.9825,29.8
NOXXIH01,81.86,35,-3.8622,-2.6273,2.02,0.2501,-0.2691,-0.1174,1.8473,2.9612,28.7644,7.3149,0.6855,3.1691,6.428,9.8244,1.9401,34.5
GUHRIK,81.72,35.1,-4.0542,-3.0549,2,0.2693,-0.2677,-0.1213,1.9002,2.9708,28.7426,7.3183,0.6973,3.1696,6.4199,9.8101,1.9441,33.2
HIHMUG03,80.12,36.9,-3.6577,-2.7305,2.09,0.3516,-0.2558,-0.6081,1.825,2.9162,28.7927,7.3232,0.6833,3.1673,6.3907,9.8302,1.9344,36.3
PAMQOK,80.44,41.9,-3.9932,-1.5153,1.99,0.2079,-0.2492,-0.1646,1.9408,2.9941,28.8585,7.2492,0.6538,3.1704,6.4314,9.8379,1.9817,42.4
MPYDCX,83.47,32.2,-3.8326,-2.7914,1.94,0.4334,-0.2153,-0.0883,2.3781,2.9636,28.8086,7.2217,0.5374,3.1699,6.2696,9.7884,1.972,35.7
ROKSER,82.64,37.3,-4.042,-3.0006,2.12,0.4224,-0.2231,-0.5989,2.4002,2.9576,28.8562,7.2031,0.538,3.1726,6.2727,9.7974,1.9764,26.1
